SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 509, 'shrink': 951, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.8565210698024501, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1011170, PRECISION: 0.0195827, PRECISION_RECALL_MIN_DEN: 0.0774541, RECALL: 0.0758952, MAP: 0.0328895, MRR: 0.0703411, NDCG: 0.0516735, F1: 0.0311297, HIT_RATE: 0.1958275, ARHR: 0.0761728, NOVELTY: 0.0045929, AVERAGE_POPULARITY: 0.1461973, DIVERSITY_MEAN_INTER_LIST: 0.9660765, DIVERSITY_HERFINDAHL: 0.9965879, COVERAGE_ITEM: 0.3247661, COVERAGE_ITEM_CORRECT: 0.0177940, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1018749, DIVERSITY_GINI: 0.0832909, SHANNON_ENTROPY: 10.3740450, 
SearchBayesianSkopt-CV: New best config found. Config 1: {'topK': 691, 'shrink': 603, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.9794545540075661, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1034674, PRECISION: 0.0202011, PRECISION_RECALL_MIN_DEN: 0.0803135, RECALL: 0.0787239, MAP: 0.0338299, MRR: 0.0716368, NDCG: 0.0532045, F1: 0.0321492, HIT_RATE: 0.2020106, ARHR: 0.0777300, NOVELTY: 0.0046561, AVERAGE_POPULARITY: 0.1389872, DIVERSITY_MEAN_INTER_LIST: 0.9697643, DIVERSITY_HERFINDAHL: 0.9969566, COVERAGE_ITEM: 0.3488662, COVERAGE_ITEM_CORRECT: 0.0186102, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1044671, DIVERSITY_GINI: 0.0980162, SHANNON_ENTROPY: 10.6467406, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 791, 'shrink': 745, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.11662316401950593, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0975012, PRECISION: 0.0186424, PRECISION_RECALL_MIN_DEN: 0.0738547, RECALL: 0.0723665, MAP: 0.0317306, MRR: 0.0678228, NDCG: 0.0496218, F1: 0.0296441, HIT_RATE: 0.1864240, ARHR: 0.0732067, NOVELTY: 0.0045527, AVERAGE_POPULARITY: 0.1542448, DIVERSITY_MEAN_INTER_LIST: 0.9619529, DIVERSITY_HERFINDAHL: 0.9961756, COVERAGE_ITEM: 0.3091434, COVERAGE_ITEM_CORRECT: 0.0167623, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0972191, DIVERSITY_GINI: 0.0754891, SHANNON_ENTROPY: 10.2016453, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 430, 'shrink': 458, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9436560296588605, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0519727, PRECISION: 0.0103486, PRECISION_RECALL_MIN_DEN: 0.0424594, RECALL: 0.0413181, MAP: 0.0174474, MRR: 0.0350599, NDCG: 0.0270102, F1: 0.0165485, HIT_RATE: 0.1034864, ARHR: 0.0378489, NOVELTY: 0.0055135, AVERAGE_POPULARITY: 0.0185450, DIVERSITY_MEAN_INTER_LIST: 0.9930474, DIVERSITY_HERFINDAHL: 0.9992844, COVERAGE_ITEM: 0.5573667, COVERAGE_ITEM_CORRECT: 0.0188181, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0546621, DIVERSITY_GINI: 0.3185732, SHANNON_ENTROPY: 13.0672497, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 686, 'shrink': 11, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.521962776718896, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0507512, PRECISION: 0.0098290, PRECISION_RECALL_MIN_DEN: 0.0439769, RECALL: 0.0432677, MAP: 0.0174872, MRR: 0.0333210, NDCG: 0.0273675, F1: 0.0160157, HIT_RATE: 0.0982903, ARHR: 0.0348561, NOVELTY: 0.0053358, AVERAGE_POPULARITY: 0.0286733, DIVERSITY_MEAN_INTER_LIST: 0.9925931, DIVERSITY_HERFINDAHL: 0.9992390, COVERAGE_ITEM: 0.4941367, COVERAGE_ITEM_CORRECT: 0.0169702, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0549893, DIVERSITY_GINI: 0.2431935, SHANNON_ENTROPY: 12.7101960, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 989, 'shrink': 68, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.7229971856023785, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1036128, PRECISION: 0.0201312, PRECISION_RECALL_MIN_DEN: 0.0795517, RECALL: 0.0780309, MAP: 0.0336248, MRR: 0.0717931, NDCG: 0.0529707, F1: 0.0320027, HIT_RATE: 0.2013119, ARHR: 0.0778933, NOVELTY: 0.0046355, AVERAGE_POPULARITY: 0.1417949, DIVERSITY_MEAN_INTER_LIST: 0.9685750, DIVERSITY_HERFINDAHL: 0.9968377, COVERAGE_ITEM: 0.3442772, COVERAGE_ITEM_CORRECT: 0.0186564, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1041148, DIVERSITY_GINI: 0.0940464, SHANNON_ENTROPY: 10.5647082, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 325, 'shrink': 543, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.3205670521605137, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1012485, PRECISION: 0.0195548, PRECISION_RECALL_MIN_DEN: 0.0768791, RECALL: 0.0752937, MAP: 0.0328026, MRR: 0.0696119, NDCG: 0.0513634, F1: 0.0310439, HIT_RATE: 0.1955479, ARHR: 0.0756562, NOVELTY: 0.0047246, AVERAGE_POPULARITY: 0.1243425, DIVERSITY_MEAN_INTER_LIST: 0.9736940, DIVERSITY_HERFINDAHL: 0.9973495, COVERAGE_ITEM: 0.3592146, COVERAGE_ITEM_CORRECT: 0.0183715, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1008683, DIVERSITY_GINI: 0.1073971, SHANNON_ENTROPY: 10.8566478, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 616, 'shrink': 611, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.9781587600261865, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1035148, PRECISION: 0.0202254, PRECISION_RECALL_MIN_DEN: 0.0803035, RECALL: 0.0787031, MAP: 0.0337822, MRR: 0.0715981, NDCG: 0.0531631, F1: 0.0321788, HIT_RATE: 0.2022545, ARHR: 0.0777038, NOVELTY: 0.0046570, AVERAGE_POPULARITY: 0.1385684, DIVERSITY_MEAN_INTER_LIST: 0.9699322, DIVERSITY_HERFINDAHL: 0.9969734, COVERAGE_ITEM: 0.3488200, COVERAGE_ITEM_CORRECT: 0.0186487, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1046433, DIVERSITY_GINI: 0.0980336, SHANNON_ENTROPY: 10.6498634, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 395, 'shrink': 269, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.089074085507422, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0521111, PRECISION: 0.0102539, PRECISION_RECALL_MIN_DEN: 0.0412528, RECALL: 0.0401504, MAP: 0.0170385, MRR: 0.0350269, NDCG: 0.0265267, F1: 0.0163347, HIT_RATE: 0.1025391, ARHR: 0.0377678, NOVELTY: 0.0055764, AVERAGE_POPULARITY: 0.0152769, DIVERSITY_MEAN_INTER_LIST: 0.9931851, DIVERSITY_HERFINDAHL: 0.9992982, COVERAGE_ITEM: 0.5828835, COVERAGE_ITEM_CORRECT: 0.0186564, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0543350, DIVERSITY_GINI: 0.3434617, SHANNON_ENTROPY: 13.1616516, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 460, 'shrink': 970, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.7758751502148387, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1009560, PRECISION: 0.0195586, PRECISION_RECALL_MIN_DEN: 0.0776354, RECALL: 0.0760827, MAP: 0.0329124, MRR: 0.0701539, NDCG: 0.0516901, F1: 0.0311147, HIT_RATE: 0.1955858, ARHR: 0.0759424, NOVELTY: 0.0046001, AVERAGE_POPULARITY: 0.1441475, DIVERSITY_MEAN_INTER_LIST: 0.9668824, DIVERSITY_HERFINDAHL: 0.9966685, COVERAGE_ITEM: 0.3263908, COVERAGE_ITEM_CORRECT: 0.0178094, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1017743, DIVERSITY_GINI: 0.0842973, SHANNON_ENTROPY: 10.4041369, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 967, 'shrink': 180, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.674498903806776, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1028667, PRECISION: 0.0200247, PRECISION_RECALL_MIN_DEN: 0.0793915, RECALL: 0.0778390, MAP: 0.0337463, MRR: 0.0716207, NDCG: 0.0529409, F1: 0.0318510, HIT_RATE: 0.2002474, ARHR: 0.0776967, NOVELTY: 0.0045975, AVERAGE_POPULARITY: 0.1479005, DIVERSITY_MEAN_INTER_LIST: 0.9659545, DIVERSITY_HERFINDAHL: 0.9965757, COVERAGE_ITEM: 0.3295784, COVERAGE_ITEM_CORRECT: 0.0183176, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1035108, DIVERSITY_GINI: 0.0857497, SHANNON_ENTROPY: 10.4063795, 
