SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 805, 'shrink': 960, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0976633, PRECISION: 0.0188918, PRECISION_RECALL_MIN_DEN: 0.0742411, RECALL: 0.0727208, MAP: 0.0316004, MRR: 0.0678303, NDCG: 0.0496555, F1: 0.0299886, HIT_RATE: 0.1889179, ARHR: 0.0733358, NOVELTY: 0.0045521, AVERAGE_POPULARITY: 0.1545958, DIVERSITY_MEAN_INTER_LIST: 0.9618810, DIVERSITY_HERFINDAHL: 0.9961684, COVERAGE_ITEM: 0.3093898, COVERAGE_ITEM_CORRECT: 0.0168855, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0983767, DIVERSITY_GINI: 0.0755631, SHANNON_ENTROPY: 10.1987763, 
SearchBayesianSkopt-CV: New best config found. Config 1: {'topK': 469, 'shrink': 653, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0994657, PRECISION: 0.0193088, PRECISION_RECALL_MIN_DEN: 0.0758901, RECALL: 0.0743309, MAP: 0.0320725, MRR: 0.0690578, NDCG: 0.0505438, F1: 0.0306512, HIT_RATE: 0.1930879, ARHR: 0.0748001, NOVELTY: 0.0045797, AVERAGE_POPULARITY: 0.1465027, DIVERSITY_MEAN_INTER_LIST: 0.9664456, DIVERSITY_HERFINDAHL: 0.9966248, COVERAGE_ITEM: 0.3157806, COVERAGE_ITEM_CORRECT: 0.0175399, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1000629, DIVERSITY_GINI: 0.0794498, SHANNON_ENTROPY: 10.3363630, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 60, 'shrink': 34, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0991395, PRECISION: 0.0192466, PRECISION_RECALL_MIN_DEN: 0.0744861, RECALL: 0.0728022, MAP: 0.0319760, MRR: 0.0692741, NDCG: 0.0500192, F1: 0.0304392, HIT_RATE: 0.1924662, ARHR: 0.0752880, NOVELTY: 0.0048679, AVERAGE_POPULARITY: 0.0820381, DIVERSITY_MEAN_INTER_LIST: 0.9854504, DIVERSITY_HERFINDAHL: 0.9985249, COVERAGE_ITEM: 0.3928316, COVERAGE_ITEM_CORRECT: 0.0232685, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0991821, DIVERSITY_GINI: 0.1338740, SHANNON_ENTROPY: 11.5497123, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 38, 'shrink': 59, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0924739, PRECISION: 0.0179011, PRECISION_RECALL_MIN_DEN: 0.0683626, RECALL: 0.0666370, MAP: 0.0293252, MRR: 0.0642595, NDCG: 0.0459268, F1: 0.0282189, HIT_RATE: 0.1790112, ARHR: 0.0700270, NOVELTY: 0.0049562, AVERAGE_POPULARITY: 0.0687376, DIVERSITY_MEAN_INTER_LIST: 0.9862240, DIVERSITY_HERFINDAHL: 0.9986022, COVERAGE_ITEM: 0.4277960, COVERAGE_ITEM_CORRECT: 0.0230760, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0919341, DIVERSITY_GINI: 0.1611985, SHANNON_ENTROPY: 11.8636603, 
SearchBayesianSkopt-CV: New best config found. Config 4: {'topK': 180, 'shrink': 692, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.1005683, PRECISION: 0.0194188, PRECISION_RECALL_MIN_DEN: 0.0763112, RECALL: 0.0747319, MAP: 0.0321776, MRR: 0.0692903, NDCG: 0.0507769, F1: 0.0308254, HIT_RATE: 0.1941884, ARHR: 0.0750455, NOVELTY: 0.0046954, AVERAGE_POPULARITY: 0.1160988, DIVERSITY_MEAN_INTER_LIST: 0.9783924, DIVERSITY_HERFINDAHL: 0.9978192, COVERAGE_ITEM: 0.3454398, COVERAGE_ITEM_CORRECT: 0.0197421, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1010444, DIVERSITY_GINI: 0.0981948, SHANNON_ENTROPY: 10.8746360, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 888, 'shrink': 871, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0976499, PRECISION: 0.0188835, PRECISION_RECALL_MIN_DEN: 0.0744398, RECALL: 0.0729160, MAP: 0.0315326, MRR: 0.0677124, NDCG: 0.0496271, F1: 0.0299954, HIT_RATE: 0.1888347, ARHR: 0.0731826, NOVELTY: 0.0045488, AVERAGE_POPULARITY: 0.1555895, DIVERSITY_MEAN_INTER_LIST: 0.9613125, DIVERSITY_HERFINDAHL: 0.9961116, COVERAGE_ITEM: 0.3087584, COVERAGE_ITEM_CORRECT: 0.0168162, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0985781, DIVERSITY_GINI: 0.0751681, SHANNON_ENTROPY: 10.1828693, 
SearchBayesianSkopt-CV: New best config found. Config 6: {'topK': 304, 'shrink': 592, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.1006151, PRECISION: 0.0196193, PRECISION_RECALL_MIN_DEN: 0.0774766, RECALL: 0.0758950, MAP: 0.0324241, MRR: 0.0698179, NDCG: 0.0512723, F1: 0.0311765, HIT_RATE: 0.1961926, ARHR: 0.0756686, NOVELTY: 0.0046208, AVERAGE_POPULARITY: 0.1348114, DIVERSITY_MEAN_INTER_LIST: 0.9718644, DIVERSITY_HERFINDAHL: 0.9971666, COVERAGE_ITEM: 0.3254437, COVERAGE_ITEM_CORRECT: 0.0185178, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1019001, DIVERSITY_GINI: 0.0853813, SHANNON_ENTROPY: 10.5327305, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 23, 'shrink': 302, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0816352, PRECISION: 0.0155592, PRECISION_RECALL_MIN_DEN: 0.0583691, RECALL: 0.0567588, MAP: 0.0257431, MRR: 0.0567051, NDCG: 0.0399066, F1: 0.0244216, HIT_RATE: 0.1555920, ARHR: 0.0616062, NOVELTY: 0.0050542, AVERAGE_POPULARITY: 0.0543775, DIVERSITY_MEAN_INTER_LIST: 0.9845505, DIVERSITY_HERFINDAHL: 0.9984349, COVERAGE_ITEM: 0.4649163, COVERAGE_ITEM_CORRECT: 0.0220289, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0803574, DIVERSITY_GINI: 0.1939563, SHANNON_ENTROPY: 12.1230224, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 881, 'shrink': 631, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0979367, PRECISION: 0.0190103, PRECISION_RECALL_MIN_DEN: 0.0748370, RECALL: 0.0733142, MAP: 0.0316437, MRR: 0.0678506, NDCG: 0.0498358, F1: 0.0301894, HIT_RATE: 0.1901027, ARHR: 0.0734189, NOVELTY: 0.0045488, AVERAGE_POPULARITY: 0.1556521, DIVERSITY_MEAN_INTER_LIST: 0.9613632, DIVERSITY_HERFINDAHL: 0.9961167, COVERAGE_ITEM: 0.3088123, COVERAGE_ITEM_CORRECT: 0.0169163, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0991066, DIVERSITY_GINI: 0.0752109, SHANNON_ENTROPY: 10.1840657, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 571, 'shrink': 220, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.1003504, PRECISION: 0.0194929, PRECISION_RECALL_MIN_DEN: 0.0765439, RECALL: 0.0749795, MAP: 0.0323556, MRR: 0.0696710, NDCG: 0.0510119, F1: 0.0309389, HIT_RATE: 0.1949287, ARHR: 0.0755051, NOVELTY: 0.0045665, AVERAGE_POPULARITY: 0.1506479, DIVERSITY_MEAN_INTER_LIST: 0.9645431, DIVERSITY_HERFINDAHL: 0.9964346, COVERAGE_ITEM: 0.3128239, COVERAGE_ITEM_CORRECT: 0.0175091, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1010193, DIVERSITY_GINI: 0.0776591, SHANNON_ENTROPY: 10.2740889, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 952, 'shrink': 301, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0989004, PRECISION: 0.0191740, PRECISION_RECALL_MIN_DEN: 0.0756371, RECALL: 0.0741103, MAP: 0.0319647, MRR: 0.0685680, NDCG: 0.0503541, F1: 0.0304630, HIT_RATE: 0.1917404, ARHR: 0.0742436, NOVELTY: 0.0045476, AVERAGE_POPULARITY: 0.1561989, DIVERSITY_MEAN_INTER_LIST: 0.9613699, DIVERSITY_HERFINDAHL: 0.9961173, COVERAGE_ITEM: 0.3088585, COVERAGE_ITEM_CORRECT: 0.0170395, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0996602, DIVERSITY_GINI: 0.0752263, SHANNON_ENTROPY: 10.1834321, 
