
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 65, 'shrink': 351, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.4808676057946877, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0163511, PRECISION: 0.0031113, PRECISION_RECALL_MIN_DEN: 0.0136386, RECALL: 0.0132919, MAP: 0.0044864, MRR: 0.0104523, NDCG: 0.0077051, F1: 0.0050400, HIT_RATE: 0.0311133, ARHR: 0.0107257, NOVELTY: 0.0050233, AVERAGE_POPULARITY: 0.0125921, DIVERSITY_MEAN_INTER_LIST: 0.9775630, DIVERSITY_HERFINDAHL: 0.9977378, COVERAGE_ITEM: 0.2396997, COVERAGE_ITEM_CORRECT: 0.0056131, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0196300, DIVERSITY_GINI: 0.0582314, SHANNON_ENTROPY: 10.4964117, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'topK': 187, 'shrink': 70, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.4065385817407505, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0096410, PRECISION: 0.0017809, PRECISION_RECALL_MIN_DEN: 0.0077948, RECALL: 0.0075647, MAP: 0.0027170, MRR: 0.0065057, NDCG: 0.0045055, F1: 0.0028774, HIT_RATE: 0.0178088, ARHR: 0.0066572, NOVELTY: 0.0050898, AVERAGE_POPULARITY: 0.0118057, DIVERSITY_MEAN_INTER_LIST: 0.9666515, DIVERSITY_HERFINDAHL: 0.9966468, COVERAGE_ITEM: 0.1519846, COVERAGE_ITEM_CORRECT: 0.0031107, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0112999, DIVERSITY_GINI: 0.0287298, SHANNON_ENTROPY: 9.5086471, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'topK': 845, 'shrink': 246, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6675825460351362, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0829422, PRECISION: 0.0170757, PRECISION_RECALL_MIN_DEN: 0.0673164, RECALL: 0.0657390, MAP: 0.0270542, MRR: 0.0563165, NDCG: 0.0430342, F1: 0.0271083, HIT_RATE: 0.1707573, ARHR: 0.0618719, NOVELTY: 0.0050284, AVERAGE_POPULARITY: 0.0178204, DIVERSITY_MEAN_INTER_LIST: 0.9964586, DIVERSITY_HERFINDAHL: 0.9996270, COVERAGE_ITEM: 0.5040847, COVERAGE_ITEM_CORRECT: 0.0311607, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0942746, DIVERSITY_GINI: 0.2160399, SHANNON_ENTROPY: 12.6319102, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'topK': 152, 'shrink': 14, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.41324352582784585, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0902734, PRECISION: 0.0188118, PRECISION_RECALL_MIN_DEN: 0.0721101, RECALL: 0.0702013, MAP: 0.0293880, MRR: 0.0616536, NDCG: 0.0465419, F1: 0.0296718, HIT_RATE: 0.1881184, ARHR: 0.0682648, NOVELTY: 0.0050358, AVERAGE_POPULARITY: 0.0182389, DIVERSITY_MEAN_INTER_LIST: 0.9974122, DIVERSITY_HERFINDAHL: 0.9997223, COVERAGE_ITEM: 0.5901290, COVERAGE_ITEM_CORRECT: 0.0346872, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1012206, DIVERSITY_GINI: 0.2889469, SHANNON_ENTROPY: 13.0729391, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 443, 'shrink': 989, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.6434321893809591, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0108549, PRECISION: 0.0018568, PRECISION_RECALL_MIN_DEN: 0.0058463, RECALL: 0.0054365, MAP: 0.0025812, MRR: 0.0074386, NDCG: 0.0040580, F1: 0.0027672, HIT_RATE: 0.0185682, ARHR: 0.0076237, NOVELTY: 0.0050756, AVERAGE_POPULARITY: 0.0108136, DIVERSITY_MEAN_INTER_LIST: 0.9691376, DIVERSITY_HERFINDAHL: 0.9968954, COVERAGE_ITEM: 0.0927199, COVERAGE_ITEM_CORRECT: 0.0031723, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0116774, DIVERSITY_GINI: 0.0179460, SHANNON_ENTROPY: 9.1473032, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 137, 'shrink': 870, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.2867505147387976, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0751907, PRECISION: 0.0156910, PRECISION_RECALL_MIN_DEN: 0.0588225, RECALL: 0.0572280, MAP: 0.0238094, MRR: 0.0517698, NDCG: 0.0380833, F1: 0.0246279, HIT_RATE: 0.1569099, ARHR: 0.0567300, NOVELTY: 0.0050201, AVERAGE_POPULARITY: 0.0172701, DIVERSITY_MEAN_INTER_LIST: 0.9964130, DIVERSITY_HERFINDAHL: 0.9996224, COVERAGE_ITEM: 0.4748181, COVERAGE_ITEM_CORRECT: 0.0287122, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0862464, DIVERSITY_GINI: 0.2119739, SHANNON_ENTROPY: 12.6397555, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 649, 'shrink': 257, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.22578846056820528, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0816959, PRECISION: 0.0164923, PRECISION_RECALL_MIN_DEN: 0.0630748, RECALL: 0.0613659, MAP: 0.0260189, MRR: 0.0556573, NDCG: 0.0410741, F1: 0.0259962, HIT_RATE: 0.1649233, ARHR: 0.0611108, NOVELTY: 0.0050433, AVERAGE_POPULARITY: 0.0175181, DIVERSITY_MEAN_INTER_LIST: 0.9970935, DIVERSITY_HERFINDAHL: 0.9996904, COVERAGE_ITEM: 0.5105987, COVERAGE_ITEM_CORRECT: 0.0303369, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0904996, DIVERSITY_GINI: 0.2392493, SHANNON_ENTROPY: 12.8293905, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 103, 'shrink': 577, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.620426548305577, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0779372, PRECISION: 0.0163356, PRECISION_RECALL_MIN_DEN: 0.0627175, RECALL: 0.0612252, MAP: 0.0244120, MRR: 0.0525069, NDCG: 0.0397385, F1: 0.0257890, HIT_RATE: 0.1633560, ARHR: 0.0577934, NOVELTY: 0.0050275, AVERAGE_POPULARITY: 0.0169537, DIVERSITY_MEAN_INTER_LIST: 0.9960129, DIVERSITY_HERFINDAHL: 0.9995824, COVERAGE_ITEM: 0.4722926, COVERAGE_ITEM_CORRECT: 0.0302522, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0895936, DIVERSITY_GINI: 0.1929496, SHANNON_ENTROPY: 12.4595367, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 164, 'shrink': 84, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.5419927771179159, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0862162, PRECISION: 0.0180953, PRECISION_RECALL_MIN_DEN: 0.0701432, RECALL: 0.0684387, MAP: 0.0275685, MRR: 0.0581392, NDCG: 0.0443982, F1: 0.0286209, HIT_RATE: 0.1809526, ARHR: 0.0643440, NOVELTY: 0.0050302, AVERAGE_POPULARITY: 0.0178325, DIVERSITY_MEAN_INTER_LIST: 0.9967943, DIVERSITY_HERFINDAHL: 0.9996605, COVERAGE_ITEM: 0.5391800, COVERAGE_ITEM_CORRECT: 0.0333013, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0983767, DIVERSITY_GINI: 0.2420470, SHANNON_ENTROPY: 12.7913541, 
