
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 580, 'shrink': 171, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0833994, PRECISION: 0.0170684, PRECISION_RECALL_MIN_DEN: 0.0654620, RECALL: 0.0638074, MAP: 0.0270293, MRR: 0.0568628, NDCG: 0.0426467, F1: 0.0269283, HIT_RATE: 0.1706835, ARHR: 0.0624745, NOVELTY: 0.0050671, AVERAGE_POPULARITY: 0.0176848, DIVERSITY_MEAN_INTER_LIST: 0.9968117, DIVERSITY_HERFINDAHL: 0.9996623, COVERAGE_ITEM: 0.5037382, COVERAGE_ITEM_CORRECT: 0.0310221, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0934441, DIVERSITY_GINI: 0.2261143, SHANNON_ENTROPY: 12.7351729, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'topK': 10, 'shrink': 750, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0806156, PRECISION: 0.0164814, PRECISION_RECALL_MIN_DEN: 0.0624669, RECALL: 0.0607765, MAP: 0.0262104, MRR: 0.0550786, NDCG: 0.0410722, F1: 0.0259298, HIT_RATE: 0.1648142, ARHR: 0.0608187, NOVELTY: 0.0050286, AVERAGE_POPULARITY: 0.0179748, DIVERSITY_MEAN_INTER_LIST: 0.9937618, DIVERSITY_HERFINDAHL: 0.9993573, COVERAGE_ITEM: 0.6226987, COVERAGE_ITEM_CORRECT: 0.0310067, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0897446, DIVERSITY_GINI: 0.3031479, SHANNON_ENTROPY: 12.9590120, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 277, 'shrink': 592, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0839291, PRECISION: 0.0173617, PRECISION_RECALL_MIN_DEN: 0.0665072, RECALL: 0.0647900, MAP: 0.0269768, MRR: 0.0568903, NDCG: 0.0428804, F1: 0.0273821, HIT_RATE: 0.1736166, ARHR: 0.0627434, NOVELTY: 0.0050608, AVERAGE_POPULARITY: 0.0176883, DIVERSITY_MEAN_INTER_LIST: 0.9969489, DIVERSITY_HERFINDAHL: 0.9996760, COVERAGE_ITEM: 0.5198537, COVERAGE_ITEM_CORRECT: 0.0316766, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0940984, DIVERSITY_GINI: 0.2375600, SHANNON_ENTROPY: 12.8027200, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'topK': 73, 'shrink': 562, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0854121, PRECISION: 0.0178781, PRECISION_RECALL_MIN_DEN: 0.0671976, RECALL: 0.0653642, MAP: 0.0274920, MRR: 0.0586916, NDCG: 0.0436582, F1: 0.0280721, HIT_RATE: 0.1787809, ARHR: 0.0648837, NOVELTY: 0.0050553, AVERAGE_POPULARITY: 0.0176913, DIVERSITY_MEAN_INTER_LIST: 0.9974171, DIVERSITY_HERFINDAHL: 0.9997228, COVERAGE_ITEM: 0.5667911, COVERAGE_ITEM_CORRECT: 0.0329163, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0963382, DIVERSITY_GINI: 0.2764822, SHANNON_ENTROPY: 13.0318493, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 985, 'shrink': 89, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0841187, PRECISION: 0.0170005, PRECISION_RECALL_MIN_DEN: 0.0658374, RECALL: 0.0642366, MAP: 0.0272678, MRR: 0.0570556, NDCG: 0.0429245, F1: 0.0268816, HIT_RATE: 0.1700046, ARHR: 0.0625301, NOVELTY: 0.0050698, AVERAGE_POPULARITY: 0.0176764, DIVERSITY_MEAN_INTER_LIST: 0.9967473, DIVERSITY_HERFINDAHL: 0.9996558, COVERAGE_ITEM: 0.5010741, COVERAGE_ITEM_CORRECT: 0.0309374, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0937209, DIVERSITY_GINI: 0.2243094, SHANNON_ENTROPY: 12.7207820, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'topK': 22, 'shrink': 266, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0847065, PRECISION: 0.0174397, PRECISION_RECALL_MIN_DEN: 0.0660705, RECALL: 0.0643096, MAP: 0.0275946, MRR: 0.0582113, NDCG: 0.0433481, F1: 0.0274330, HIT_RATE: 0.1743967, ARHR: 0.0643036, NOVELTY: 0.0050415, AVERAGE_POPULARITY: 0.0179561, DIVERSITY_MEAN_INTER_LIST: 0.9969359, DIVERSITY_HERFINDAHL: 0.9996747, COVERAGE_ITEM: 0.6052743, COVERAGE_ITEM_CORRECT: 0.0327392, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0944256, DIVERSITY_GINI: 0.3011815, SHANNON_ENTROPY: 13.1055827, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 809, 'shrink': 571, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0807400, PRECISION: 0.0163758, PRECISION_RECALL_MIN_DEN: 0.0636321, RECALL: 0.0620320, MAP: 0.0259532, MRR: 0.0544814, NDCG: 0.0410939, F1: 0.0259068, HIT_RATE: 0.1637576, ARHR: 0.0597134, NOVELTY: 0.0050702, AVERAGE_POPULARITY: 0.0176805, DIVERSITY_MEAN_INTER_LIST: 0.9963963, DIVERSITY_HERFINDAHL: 0.9996207, COVERAGE_ITEM: 0.4836420, COVERAGE_ITEM_CORRECT: 0.0295669, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0901472, DIVERSITY_GINI: 0.2073437, SHANNON_ENTROPY: 12.5905423, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 776, 'shrink': 854, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0801430, PRECISION: 0.0163491, PRECISION_RECALL_MIN_DEN: 0.0634322, RECALL: 0.0618525, MAP: 0.0257741, MRR: 0.0540969, NDCG: 0.0408956, F1: 0.0258575, HIT_RATE: 0.1634912, ARHR: 0.0592555, NOVELTY: 0.0050717, AVERAGE_POPULARITY: 0.0176807, DIVERSITY_MEAN_INTER_LIST: 0.9963470, DIVERSITY_HERFINDAHL: 0.9996158, COVERAGE_ITEM: 0.4835573, COVERAGE_ITEM_CORRECT: 0.0295438, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0900214, DIVERSITY_GINI: 0.2070764, SHANNON_ENTROPY: 12.5840041, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 632, 'shrink': 394, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0815447, PRECISION: 0.0167394, PRECISION_RECALL_MIN_DEN: 0.0646241, RECALL: 0.0630159, MAP: 0.0265266, MRR: 0.0556311, NDCG: 0.0419193, F1: 0.0264478, HIT_RATE: 0.1673937, ARHR: 0.0610687, NOVELTY: 0.0050681, AVERAGE_POPULARITY: 0.0176858, DIVERSITY_MEAN_INTER_LIST: 0.9966143, DIVERSITY_HERFINDAHL: 0.9996425, COVERAGE_ITEM: 0.4932974, COVERAGE_ITEM_CORRECT: 0.0302830, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0916321, DIVERSITY_GINI: 0.2160866, SHANNON_ENTROPY: 12.6602632, 
