
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 682, 'shrink': 483, 'similarity': 'tversky', 'normalize': True, 'icm_weight': 0.5782116103122584, 'tversky_alpha': 0.22867655724457442, 'tversky_beta': 0.7988662362245187} - results: ROC_AUC: 0.1355225, PRECISION: 0.0280789, PRECISION_RECALL_MIN_DEN: 0.1061673, RECALL: 0.1035638, MAP: 0.0455529, MRR: 0.0955638, NDCG: 0.0709335, F1: 0.0441787, HIT_RATE: 0.2807894, ARHR: 0.1070045, NOVELTY: 0.0053410, AVERAGE_POPULARITY: 0.1279316, DIVERSITY_MEAN_INTER_LIST: 0.9909653, DIVERSITY_HERFINDAHL: 0.9990778, COVERAGE_ITEM: 0.4475534, COVERAGE_ITEM_CORRECT: 0.0364042, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1467724, DIVERSITY_GINI: 0.1664898, SHANNON_ENTROPY: 11.9854632, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'topK': 649, 'shrink': 637, 'similarity': 'tversky', 'normalize': True, 'icm_weight': 0.12302150837255424, 'tversky_alpha': 1.0198268189593498, 'tversky_beta': 0.30780519299475967} - results: ROC_AUC: 0.1355870, PRECISION: 0.0280718, PRECISION_RECALL_MIN_DEN: 0.1059783, RECALL: 0.1033671, MAP: 0.0454561, MRR: 0.0955850, NDCG: 0.0707927, F1: 0.0441524, HIT_RATE: 0.2807178, ARHR: 0.1070402, NOVELTY: 0.0053598, AVERAGE_POPULARITY: 0.1207983, DIVERSITY_MEAN_INTER_LIST: 0.9917495, DIVERSITY_HERFINDAHL: 0.9991562, COVERAGE_ITEM: 0.4555611, COVERAGE_ITEM_CORRECT: 0.0369586, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1468982, DIVERSITY_GINI: 0.1724025, SHANNON_ENTROPY: 12.0612232, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 326, 'shrink': 236, 'similarity': 'tversky', 'normalize': True, 'icm_weight': 0.1018975259582762, 'tversky_alpha': 1.7927624274024812, 'tversky_beta': 0.002015975000421833} - results: ROC_AUC: 0.1329212, PRECISION: 0.0276180, PRECISION_RECALL_MIN_DEN: 0.1039525, RECALL: 0.1013834, MAP: 0.0439983, MRR: 0.0931279, NDCG: 0.0689960, F1: 0.0434092, HIT_RATE: 0.2761799, ARHR: 0.1042889, NOVELTY: 0.0054325, AVERAGE_POPULARITY: 0.1016199, DIVERSITY_MEAN_INTER_LIST: 0.9945908, DIVERSITY_HERFINDAHL: 0.9994402, COVERAGE_ITEM: 0.4974629, COVERAGE_ITEM_CORRECT: 0.0392454, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1448597, DIVERSITY_GINI: 0.2077704, SHANNON_ENTROPY: 12.4427444, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'topK': 48, 'shrink': 414, 'similarity': 'tversky', 'normalize': True, 'icm_weight': 0.32953153621123704, 'tversky_alpha': 0.5534736318763646, 'tversky_beta': 1.2368877052438452} - results: ROC_AUC: 0.1385988, PRECISION: 0.0289152, PRECISION_RECALL_MIN_DEN: 0.1069980, RECALL: 0.1041545, MAP: 0.0467187, MRR: 0.0984872, NDCG: 0.0722707, F1: 0.0452623, HIT_RATE: 0.2891518, ARHR: 0.1109656, NOVELTY: 0.0054083, AVERAGE_POPULARITY: 0.1121399, DIVERSITY_MEAN_INTER_LIST: 0.9928661, DIVERSITY_HERFINDAHL: 0.9992678, COVERAGE_ITEM: 0.5369471, COVERAGE_ITEM_CORRECT: 0.0393147, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1491129, DIVERSITY_GINI: 0.2275580, SHANNON_ENTROPY: 12.4325975, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 265, 'shrink': 172, 'similarity': 'tversky', 'normalize': True, 'icm_weight': 0.12349352729736954, 'tversky_alpha': 1.901874492299028, 'tversky_beta': 0.6964809544004186} - results: ROC_AUC: 0.1328377, PRECISION: 0.0274429, PRECISION_RECALL_MIN_DEN: 0.1034729, RECALL: 0.1009786, MAP: 0.0437185, MRR: 0.0928380, NDCG: 0.0686594, F1: 0.0431560, HIT_RATE: 0.2744286, ARHR: 0.1038836, NOVELTY: 0.0054582, AVERAGE_POPULARITY: 0.0966276, DIVERSITY_MEAN_INTER_LIST: 0.9954599, DIVERSITY_HERFINDAHL: 0.9995271, COVERAGE_ITEM: 0.5144562, COVERAGE_ITEM_CORRECT: 0.0405005, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1443815, DIVERSITY_GINI: 0.2235354, SHANNON_ENTROPY: 12.5912993, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 898, 'shrink': 632, 'similarity': 'tversky', 'normalize': True, 'icm_weight': 0.8301328090201265, 'tversky_alpha': 0.7719431893467976, 'tversky_beta': 1.4032548907399738} - results: ROC_AUC: 0.1343460, PRECISION: 0.0276241, PRECISION_RECALL_MIN_DEN: 0.1046541, RECALL: 0.1021699, MAP: 0.0452571, MRR: 0.0947424, NDCG: 0.0702680, F1: 0.0434890, HIT_RATE: 0.2762413, ARHR: 0.1057845, NOVELTY: 0.0053491, AVERAGE_POPULARITY: 0.1240346, DIVERSITY_MEAN_INTER_LIST: 0.9915970, DIVERSITY_HERFINDAHL: 0.9991409, COVERAGE_ITEM: 0.4454206, COVERAGE_ITEM_CORRECT: 0.0362425, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1453882, DIVERSITY_GINI: 0.1656673, SHANNON_ENTROPY: 12.0072011, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 492, 'shrink': 663, 'similarity': 'tversky', 'normalize': True, 'icm_weight': 0.7479897706628053, 'tversky_alpha': 0.576312535842649, 'tversky_beta': 0.43211725841149706} - results: ROC_AUC: 0.1372534, PRECISION: 0.0281816, PRECISION_RECALL_MIN_DEN: 0.1059093, RECALL: 0.1033028, MAP: 0.0460061, MRR: 0.0963302, NDCG: 0.0713061, F1: 0.0442822, HIT_RATE: 0.2818161, ARHR: 0.1079724, NOVELTY: 0.0053554, AVERAGE_POPULARITY: 0.1236262, DIVERSITY_MEAN_INTER_LIST: 0.9912808, DIVERSITY_HERFINDAHL: 0.9991093, COVERAGE_ITEM: 0.4613898, COVERAGE_ITEM_CORRECT: 0.0367738, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1476029, DIVERSITY_GINI: 0.1755955, SHANNON_ENTROPY: 12.0612098, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 920, 'shrink': 730, 'similarity': 'tversky', 'normalize': True, 'icm_weight': 0.5959997800243763, 'tversky_alpha': 0.07684576631870989, 'tversky_beta': 1.2424720405331764} - results: ROC_AUC: 0.1334707, PRECISION: 0.0274423, PRECISION_RECALL_MIN_DEN: 0.1035857, RECALL: 0.1010837, MAP: 0.0447051, MRR: 0.0937207, NDCG: 0.0695188, F1: 0.0431652, HIT_RATE: 0.2744231, ARHR: 0.1048014, NOVELTY: 0.0053239, AVERAGE_POPULARITY: 0.1331355, DIVERSITY_MEAN_INTER_LIST: 0.9902821, DIVERSITY_HERFINDAHL: 0.9990094, COVERAGE_ITEM: 0.4335861, COVERAGE_ITEM_CORRECT: 0.0352647, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1439789, DIVERSITY_GINI: 0.1566622, SHANNON_ENTROPY: 11.8824819, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 969, 'shrink': 146, 'similarity': 'tversky', 'normalize': True, 'icm_weight': 0.1424611989892052, 'tversky_alpha': 0.8900435803324696, 'tversky_beta': 1.2902042991214415} - results: ROC_AUC: 0.1331347, PRECISION: 0.0271812, PRECISION_RECALL_MIN_DEN: 0.1042708, RECALL: 0.1018631, MAP: 0.0445736, MRR: 0.0929299, NDCG: 0.0694175, F1: 0.0429112, HIT_RATE: 0.2718124, ARHR: 0.1036711, NOVELTY: 0.0054068, AVERAGE_POPULARITY: 0.1063218, DIVERSITY_MEAN_INTER_LIST: 0.9944031, DIVERSITY_HERFINDAHL: 0.9994215, COVERAGE_ITEM: 0.4660558, COVERAGE_ITEM_CORRECT: 0.0383831, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1439034, DIVERSITY_GINI: 0.1869305, SHANNON_ENTROPY: 12.3117969, 

