
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 647, 'shrink': 492, 'similarity': 'dice', 'normalize': False, 'icm_weight': 0.12751404880876174} - results: ROC_AUC: 0.1358681, PRECISION: 0.0280866, PRECISION_RECALL_MIN_DEN: 0.1061640, RECALL: 0.1035515, MAP: 0.0456367, MRR: 0.0957111, NDCG: 0.0709809, F1: 0.0441869, HIT_RATE: 0.2808658, ARHR: 0.1071609, NOVELTY: 0.0053676, AVERAGE_POPULARITY: 0.1181245, DIVERSITY_MEAN_INTER_LIST: 0.9923992, DIVERSITY_HERFINDAHL: 0.9992211, COVERAGE_ITEM: 0.4581636, COVERAGE_ITEM_CORRECT: 0.0373821, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1471499, DIVERSITY_GINI: 0.1756154, SHANNON_ENTROPY: 12.1180130, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'topK': 356, 'shrink': 119, 'similarity': 'dice', 'normalize': False, 'icm_weight': 0.40937256710869574} - results: ROC_AUC: 0.1346198, PRECISION: 0.0278034, PRECISION_RECALL_MIN_DEN: 0.1048409, RECALL: 0.1023035, MAP: 0.0450053, MRR: 0.0949268, NDCG: 0.0701565, F1: 0.0437233, HIT_RATE: 0.2780343, ARHR: 0.1062073, NOVELTY: 0.0054369, AVERAGE_POPULARITY: 0.1007339, DIVERSITY_MEAN_INTER_LIST: 0.9951801, DIVERSITY_HERFINDAHL: 0.9994991, COVERAGE_ITEM: 0.5014822, COVERAGE_ITEM_CORRECT: 0.0400385, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1459167, DIVERSITY_GINI: 0.2137893, SHANNON_ENTROPY: 12.5217237, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 863, 'shrink': 632, 'similarity': 'dice', 'normalize': True, 'icm_weight': 0.915114790890388} - results: ROC_AUC: 0.1343020, PRECISION: 0.0276509, PRECISION_RECALL_MIN_DEN: 0.1047200, RECALL: 0.1022215, MAP: 0.0453323, MRR: 0.0950240, NDCG: 0.0703477, F1: 0.0435270, HIT_RATE: 0.2765086, ARHR: 0.1061168, NOVELTY: 0.0053557, AVERAGE_POPULARITY: 0.1216445, DIVERSITY_MEAN_INTER_LIST: 0.9918736, DIVERSITY_HERFINDAHL: 0.9991686, COVERAGE_ITEM: 0.4488778, COVERAGE_ITEM_CORRECT: 0.0363426, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1455140, DIVERSITY_GINI: 0.1683359, SHANNON_ENTROPY: 12.0391903, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'topK': 120, 'shrink': 658, 'similarity': 'dice', 'normalize': True, 'icm_weight': 0.8226878281933258} - results: ROC_AUC: 0.1394503, PRECISION: 0.0289353, PRECISION_RECALL_MIN_DEN: 0.1071129, RECALL: 0.1042774, MAP: 0.0469354, MRR: 0.0990286, NDCG: 0.0725055, F1: 0.0452982, HIT_RATE: 0.2893526, ARHR: 0.1117084, NOVELTY: 0.0053911, AVERAGE_POPULARITY: 0.1150836, DIVERSITY_MEAN_INTER_LIST: 0.9925260, DIVERSITY_HERFINDAHL: 0.9992338, COVERAGE_ITEM: 0.5079654, COVERAGE_ITEM_CORRECT: 0.0390991, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1496917, DIVERSITY_GINI: 0.2089375, SHANNON_ENTROPY: 12.3224971, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 905, 'shrink': 702, 'similarity': 'dice', 'normalize': False, 'icm_weight': 0.048151200949295384} - results: ROC_AUC: 0.1342057, PRECISION: 0.0276016, PRECISION_RECALL_MIN_DEN: 0.1046582, RECALL: 0.1021751, MAP: 0.0452598, MRR: 0.0948219, NDCG: 0.0702515, F1: 0.0434614, HIT_RATE: 0.2760160, ARHR: 0.1057990, NOVELTY: 0.0053525, AVERAGE_POPULARITY: 0.1227231, DIVERSITY_MEAN_INTER_LIST: 0.9916955, DIVERSITY_HERFINDAHL: 0.9991508, COVERAGE_ITEM: 0.4474841, COVERAGE_ITEM_CORRECT: 0.0361963, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1455140, DIVERSITY_GINI: 0.1669157, SHANNON_ENTROPY: 12.0194093, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 989, 'shrink': 183, 'similarity': 'dice', 'normalize': False, 'icm_weight': 0.31339898995436116} - results: ROC_AUC: 0.1328311, PRECISION: 0.0272077, PRECISION_RECALL_MIN_DEN: 0.1041805, RECALL: 0.1017762, MAP: 0.0444310, MRR: 0.0928195, NDCG: 0.0693032, F1: 0.0429361, HIT_RATE: 0.2720765, ARHR: 0.1035112, NOVELTY: 0.0054018, AVERAGE_POPULARITY: 0.1074583, DIVERSITY_MEAN_INTER_LIST: 0.9941587, DIVERSITY_HERFINDAHL: 0.9993970, COVERAGE_ITEM: 0.4638999, COVERAGE_ITEM_CORRECT: 0.0380674, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1441299, DIVERSITY_GINI: 0.1844437, SHANNON_ENTROPY: 12.2791317, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 688, 'shrink': 20, 'similarity': 'dice', 'normalize': False, 'icm_weight': 0.7794685537838526} - results: ROC_AUC: 0.1259060, PRECISION: 0.0256117, PRECISION_RECALL_MIN_DEN: 0.0989463, RECALL: 0.0966601, MAP: 0.0420793, MRR: 0.0872819, NDCG: 0.0655562, F1: 0.0404930, HIT_RATE: 0.2561168, ARHR: 0.0971208, NOVELTY: 0.0055429, AVERAGE_POPULARITY: 0.0814428, DIVERSITY_MEAN_INTER_LIST: 0.9969540, DIVERSITY_HERFINDAHL: 0.9996765, COVERAGE_ITEM: 0.5453628, COVERAGE_ITEM_CORRECT: 0.0415091, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1363533, DIVERSITY_GINI: 0.2520189, SHANNON_ENTROPY: 12.8618483, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 460, 'shrink': 739, 'similarity': 'dice', 'normalize': False, 'icm_weight': 0.28183500256283694} - results: ROC_AUC: 0.1378420, PRECISION: 0.0282306, PRECISION_RECALL_MIN_DEN: 0.1061659, RECALL: 0.1035628, MAP: 0.0463187, MRR: 0.0970768, NDCG: 0.0716523, F1: 0.0443665, HIT_RATE: 0.2823064, ARHR: 0.1087766, NOVELTY: 0.0053646, AVERAGE_POPULARITY: 0.1202645, DIVERSITY_MEAN_INTER_LIST: 0.9919247, DIVERSITY_HERFINDAHL: 0.9991737, COVERAGE_ITEM: 0.4652089, COVERAGE_ITEM_CORRECT: 0.0372743, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1478042, DIVERSITY_GINI: 0.1792878, SHANNON_ENTROPY: 12.1179396, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 264, 'shrink': 308, 'similarity': 'dice', 'normalize': True, 'icm_weight': 0.8794372945756282} - results: ROC_AUC: 0.1379235, PRECISION: 0.0283633, PRECISION_RECALL_MIN_DEN: 0.1060236, RECALL: 0.1033377, MAP: 0.0460786, MRR: 0.0976634, NDCG: 0.0715121, F1: 0.0445084, HIT_RATE: 0.2836327, ARHR: 0.1094722, NOVELTY: 0.0053970, AVERAGE_POPULARITY: 0.1111536, DIVERSITY_MEAN_INTER_LIST: 0.9935172, DIVERSITY_HERFINDAHL: 0.9993329, COVERAGE_ITEM: 0.4888316, COVERAGE_ITEM_CORRECT: 0.0388219, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1481062, DIVERSITY_GINI: 0.1994864, SHANNON_ENTROPY: 12.3300988, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 386, 'shrink': 79, 'similarity': 'dice', 'normalize': True, 'icm_weight': 0.9110098000922849} - results: ROC_AUC: 0.1337767, PRECISION: 0.0272612, PRECISION_RECALL_MIN_DEN: 0.1039283, RECALL: 0.1014898, MAP: 0.0445419, MRR: 0.0933341, NDCG: 0.0693562, F1: 0.0429774, HIT_RATE: 0.2726116, ARHR: 0.1043360, NOVELTY: 0.0054604, AVERAGE_POPULARITY: 0.0957900, DIVERSITY_MEAN_INTER_LIST: 0.9958012, DIVERSITY_HERFINDAHL: 0.9995612, COVERAGE_ITEM: 0.5130472, COVERAGE_ITEM_CORRECT: 0.0405236, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1436517, DIVERSITY_GINI: 0.2243496, SHANNON_ENTROPY: 12.6249240, 
