
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 432, 'shrink': 578, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0825923, PRECISION: 0.0169436, PRECISION_RECALL_MIN_DEN: 0.0650858, RECALL: 0.0634544, MAP: 0.0265446, MRR: 0.0556651, NDCG: 0.0421020, F1: 0.0267409, HIT_RATE: 0.1694359, ARHR: 0.0612745, NOVELTY: 0.0050649, AVERAGE_POPULARITY: 0.0176612, DIVERSITY_MEAN_INTER_LIST: 0.9967600, DIVERSITY_HERFINDAHL: 0.9996571, COVERAGE_ITEM: 0.5049471, COVERAGE_ITEM_CORRECT: 0.0307834, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0928652, DIVERSITY_GINI: 0.2254266, SHANNON_ENTROPY: 12.7223911, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'topK': 949, 'shrink': 5, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0866069, PRECISION: 0.0172733, PRECISION_RECALL_MIN_DEN: 0.0679012, RECALL: 0.0663663, MAP: 0.0284092, MRR: 0.0595460, NDCG: 0.0445257, F1: 0.0274111, HIT_RATE: 0.1727327, ARHR: 0.0650681, NOVELTY: 0.0050664, AVERAGE_POPULARITY: 0.0180327, DIVERSITY_MEAN_INTER_LIST: 0.9970643, DIVERSITY_HERFINDAHL: 0.9996875, COVERAGE_ITEM: 0.5436458, COVERAGE_ITEM_CORRECT: 0.0318768, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0953316, DIVERSITY_GINI: 0.2517528, SHANNON_ENTROPY: 12.8782688, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 561, 'shrink': 273, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0823973, PRECISION: 0.0170380, PRECISION_RECALL_MIN_DEN: 0.0653108, RECALL: 0.0636515, MAP: 0.0267273, MRR: 0.0561888, NDCG: 0.0423197, F1: 0.0268758, HIT_RATE: 0.1703795, ARHR: 0.0617472, NOVELTY: 0.0050667, AVERAGE_POPULARITY: 0.0176702, DIVERSITY_MEAN_INTER_LIST: 0.9967431, DIVERSITY_HERFINDAHL: 0.9996554, COVERAGE_ITEM: 0.4997652, COVERAGE_ITEM_CORRECT: 0.0309605, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0931672, DIVERSITY_GINI: 0.2222097, SHANNON_ENTROPY: 12.7065670, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'topK': 209, 'shrink': 68, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0886531, PRECISION: 0.0182514, PRECISION_RECALL_MIN_DEN: 0.0690245, RECALL: 0.0672083, MAP: 0.0286881, MRR: 0.0608426, NDCG: 0.0451987, F1: 0.0287053, HIT_RATE: 0.1825143, ARHR: 0.0672886, NOVELTY: 0.0050600, AVERAGE_POPULARITY: 0.0177725, DIVERSITY_MEAN_INTER_LIST: 0.9973405, DIVERSITY_HERFINDAHL: 0.9997152, COVERAGE_ITEM: 0.5524158, COVERAGE_ITEM_CORRECT: 0.0334706, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0984271, DIVERSITY_GINI: 0.2677842, SHANNON_ENTROPY: 12.9880101, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 863, 'shrink': 985, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0799934, PRECISION: 0.0161822, PRECISION_RECALL_MIN_DEN: 0.0630888, RECALL: 0.0615536, MAP: 0.0256525, MRR: 0.0537074, NDCG: 0.0406936, F1: 0.0256231, HIT_RATE: 0.1618221, ARHR: 0.0586891, NOVELTY: 0.0050718, AVERAGE_POPULARITY: 0.0177188, DIVERSITY_MEAN_INTER_LIST: 0.9962554, DIVERSITY_HERFINDAHL: 0.9996067, COVERAGE_ITEM: 0.4798999, COVERAGE_ITEM_CORRECT: 0.0292050, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0896439, DIVERSITY_GINI: 0.2040572, SHANNON_ENTROPY: 12.5585103, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 953, 'shrink': 17, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0863939, PRECISION: 0.0175425, PRECISION_RECALL_MIN_DEN: 0.0687391, RECALL: 0.0671741, MAP: 0.0285350, MRR: 0.0594250, NDCG: 0.0448171, F1: 0.0278186, HIT_RATE: 0.1754254, ARHR: 0.0650664, NOVELTY: 0.0050713, AVERAGE_POPULARITY: 0.0178482, DIVERSITY_MEAN_INTER_LIST: 0.9970591, DIVERSITY_HERFINDAHL: 0.9996870, COVERAGE_ITEM: 0.5399423, COVERAGE_ITEM_CORRECT: 0.0321078, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0964389, DIVERSITY_GINI: 0.2513260, SHANNON_ENTROPY: 12.8795181, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 516, 'shrink': 808, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0815783, PRECISION: 0.0168975, PRECISION_RECALL_MIN_DEN: 0.0648424, RECALL: 0.0631973, MAP: 0.0264916, MRR: 0.0554303, NDCG: 0.0419568, F1: 0.0266610, HIT_RATE: 0.1689754, ARHR: 0.0609384, NOVELTY: 0.0050690, AVERAGE_POPULARITY: 0.0177199, DIVERSITY_MEAN_INTER_LIST: 0.9966466, DIVERSITY_HERFINDAHL: 0.9996458, COVERAGE_ITEM: 0.4978864, COVERAGE_ITEM_CORRECT: 0.0306064, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0923367, DIVERSITY_GINI: 0.2193356, SHANNON_ENTROPY: 12.6784764, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 856, 'shrink': 775, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0803923, PRECISION: 0.0162429, PRECISION_RECALL_MIN_DEN: 0.0632275, RECALL: 0.0616720, MAP: 0.0257483, MRR: 0.0540794, NDCG: 0.0408333, F1: 0.0257092, HIT_RATE: 0.1624292, ARHR: 0.0591134, NOVELTY: 0.0050715, AVERAGE_POPULARITY: 0.0177119, DIVERSITY_MEAN_INTER_LIST: 0.9963050, DIVERSITY_HERFINDAHL: 0.9996116, COVERAGE_ITEM: 0.4808932, COVERAGE_ITEM_CORRECT: 0.0293590, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0900214, DIVERSITY_GINI: 0.2049163, SHANNON_ENTROPY: 12.5677317, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 115, 'shrink': 630, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0858234, PRECISION: 0.0176522, PRECISION_RECALL_MIN_DEN: 0.0670042, RECALL: 0.0651861, MAP: 0.0272331, MRR: 0.0578488, NDCG: 0.0432883, F1: 0.0277758, HIT_RATE: 0.1765218, ARHR: 0.0640819, NOVELTY: 0.0050599, AVERAGE_POPULARITY: 0.0178866, DIVERSITY_MEAN_INTER_LIST: 0.9973094, DIVERSITY_HERFINDAHL: 0.9997120, COVERAGE_ITEM: 0.5504216, COVERAGE_ITEM_CORRECT: 0.0325929, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0955329, DIVERSITY_GINI: 0.2634731, SHANNON_ENTROPY: 12.9627076, 
