SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 490, 'alpha': 1.9054690603285207, 'beta': 0.15925298997291784, 'normalize_similarity': True} - results: ROC_AUC: 0.0549739, PRECISION: 0.0108545, PRECISION_RECALL_MIN_DEN: 0.0497832, RECALL: 0.0491415, MAP: 0.0185103, MRR: 0.0345199, NDCG: 0.0298340, F1: 0.0177770, HIT_RATE: 0.1085451, ARHR: 0.0360147, NOVELTY: 0.0053028, AVERAGE_POPULARITY: 0.0397275, DIVERSITY_MEAN_INTER_LIST: 0.9922857, DIVERSITY_HERFINDAHL: 0.9992083, COVERAGE_ITEM: 0.4859211, COVERAGE_ITEM_CORRECT: 0.0167931, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0614823, DIVERSITY_GINI: 0.2384720, SHANNON_ENTROPY: 12.6505503, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'topK': 357, 'alpha': 1.6276503552217918, 'beta': 1.8290037274817665, 'normalize_similarity': False} - results: ROC_AUC: 0.0323245, PRECISION: 0.0060688, PRECISION_RECALL_MIN_DEN: 0.0280212, RECALL: 0.0277471, MAP: 0.0113237, MRR: 0.0209714, NDCG: 0.0176662, F1: 0.0099581, HIT_RATE: 0.0606877, ARHR: 0.0219336, NOVELTY: 0.0058291, AVERAGE_POPULARITY: 0.0088795, DIVERSITY_MEAN_INTER_LIST: 0.9929735, DIVERSITY_HERFINDAHL: 0.9992771, COVERAGE_ITEM: 0.5141944, COVERAGE_ITEM_CORRECT: 0.0111338, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0340758, DIVERSITY_GINI: 0.2818633, SHANNON_ENTROPY: 12.9194543, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 896, 'alpha': 0.06669817491162668, 'beta': 0.5006363190857647, 'normalize_similarity': False} - results: ROC_AUC: 0.0561503, PRECISION: 0.0106394, PRECISION_RECALL_MIN_DEN: 0.0435979, RECALL: 0.0429606, MAP: 0.0184350, MRR: 0.0382013, NDCG: 0.0289456, F1: 0.0170521, HIT_RATE: 0.1063944, ARHR: 0.0408127, NOVELTY: 0.0056012, AVERAGE_POPULARITY: 0.0247512, DIVERSITY_MEAN_INTER_LIST: 0.9923621, DIVERSITY_HERFINDAHL: 0.9992159, COVERAGE_ITEM: 0.5234495, COVERAGE_ITEM_CORRECT: 0.0167623, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0571033, DIVERSITY_GINI: 0.2577331, SHANNON_ENTROPY: 12.7311888, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 424, 'alpha': 0.8075302164969165, 'beta': 1.3241841378137644, 'normalize_similarity': False} - results: ROC_AUC: 0.0347392, PRECISION: 0.0067152, PRECISION_RECALL_MIN_DEN: 0.0282962, RECALL: 0.0277428, MAP: 0.0115923, MRR: 0.0229664, NDCG: 0.0181062, F1: 0.0108113, HIT_RATE: 0.0671523, ARHR: 0.0244863, NOVELTY: 0.0058983, AVERAGE_POPULARITY: 0.0076174, DIVERSITY_MEAN_INTER_LIST: 0.9928485, DIVERSITY_HERFINDAHL: 0.9992646, COVERAGE_ITEM: 0.4821636, COVERAGE_ITEM_CORRECT: 0.0123349, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0361646, DIVERSITY_GINI: 0.2523581, SHANNON_ENTROPY: 12.7827886, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 685, 'alpha': 0.8548681468201915, 'beta': 0.6386604211041121, 'normalize_similarity': True} - results: ROC_AUC: 0.0436806, PRECISION: 0.0087208, PRECISION_RECALL_MIN_DEN: 0.0368659, RECALL: 0.0361835, MAP: 0.0147609, MRR: 0.0283680, NDCG: 0.0232050, F1: 0.0140527, HIT_RATE: 0.0872084, ARHR: 0.0302153, NOVELTY: 0.0056804, AVERAGE_POPULARITY: 0.0133073, DIVERSITY_MEAN_INTER_LIST: 0.9931653, DIVERSITY_HERFINDAHL: 0.9992962, COVERAGE_ITEM: 0.5735207, COVERAGE_ITEM_CORRECT: 0.0159461, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0475148, DIVERSITY_GINI: 0.3378139, SHANNON_ENTROPY: 13.1410818, 
SearchBayesianSkopt-CV: New best config found. Config 5: {'topK': 573, 'alpha': 1.2328300689098388, 'beta': 0.16962748673712794, 'normalize_similarity': False} - results: ROC_AUC: 0.0586644, PRECISION: 0.0116846, PRECISION_RECALL_MIN_DEN: 0.0516085, RECALL: 0.0508686, MAP: 0.0200649, MRR: 0.0377642, NDCG: 0.0318746, F1: 0.0190010, HIT_RATE: 0.1168464, ARHR: 0.0399146, NOVELTY: 0.0053521, AVERAGE_POPULARITY: 0.0353143, DIVERSITY_MEAN_INTER_LIST: 0.9926631, DIVERSITY_HERFINDAHL: 0.9992460, COVERAGE_ITEM: 0.5382868, COVERAGE_ITEM_CORRECT: 0.0186256, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0643262, DIVERSITY_GINI: 0.2870914, SHANNON_ENTROPY: 12.8896414, 
SearchBayesianSkopt-CV: New best config found. Config 6: {'topK': 34, 'alpha': 0.21568881290286696, 'beta': 0.43852689362550634, 'normalize_similarity': False} - results: ROC_AUC: 0.0676405, PRECISION: 0.0127160, PRECISION_RECALL_MIN_DEN: 0.0504522, RECALL: 0.0494414, MAP: 0.0217508, MRR: 0.0458893, NDCG: 0.0338341, F1: 0.0202283, HIT_RATE: 0.1271598, ARHR: 0.0495441, NOVELTY: 0.0055941, AVERAGE_POPULARITY: 0.0291852, DIVERSITY_MEAN_INTER_LIST: 0.9916639, DIVERSITY_HERFINDAHL: 0.9991461, COVERAGE_ITEM: 0.5416131, COVERAGE_ITEM_CORRECT: 0.0191030, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0671700, DIVERSITY_GINI: 0.2777246, SHANNON_ENTROPY: 12.7842020, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 630, 'alpha': 1.6833290558936758, 'beta': 0.7342372559087557, 'normalize_similarity': True} - results: ROC_AUC: 0.0383824, PRECISION: 0.0073843, PRECISION_RECALL_MIN_DEN: 0.0345934, RECALL: 0.0342314, MAP: 0.0139524, MRR: 0.0251604, NDCG: 0.0215908, F1: 0.0121451, HIT_RATE: 0.0738429, ARHR: 0.0262374, NOVELTY: 0.0056127, AVERAGE_POPULARITY: 0.0156304, DIVERSITY_MEAN_INTER_LIST: 0.9929491, DIVERSITY_HERFINDAHL: 0.9992746, COVERAGE_ITEM: 0.5223330, COVERAGE_ITEM_CORRECT: 0.0133898, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0418019, DIVERSITY_GINI: 0.2849187, SHANNON_ENTROPY: 12.9290113, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 50, 'alpha': 0.903430192947847, 'beta': 0.521296509108189, 'normalize_similarity': True} - results: ROC_AUC: 0.0459368, PRECISION: 0.0090596, PRECISION_RECALL_MIN_DEN: 0.0390001, RECALL: 0.0383655, MAP: 0.0156038, MRR: 0.0300056, NDCG: 0.0245448, F1: 0.0146558, HIT_RATE: 0.0905964, ARHR: 0.0318397, NOVELTY: 0.0056302, AVERAGE_POPULARITY: 0.0155168, DIVERSITY_MEAN_INTER_LIST: 0.9928824, DIVERSITY_HERFINDAHL: 0.9992680, COVERAGE_ITEM: 0.5449471, COVERAGE_ITEM_CORRECT: 0.0161540, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0493771, DIVERSITY_GINI: 0.3060654, SHANNON_ENTROPY: 13.0092071, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 48, 'alpha': 0.7875336123743835, 'beta': 1.4182457864104094, 'normalize_similarity': False} - results: ROC_AUC: 0.0339671, PRECISION: 0.0065435, PRECISION_RECALL_MIN_DEN: 0.0278068, RECALL: 0.0273229, MAP: 0.0111930, MRR: 0.0222234, NDCG: 0.0176503, F1: 0.0105569, HIT_RATE: 0.0654351, ARHR: 0.0237386, NOVELTY: 0.0059064, AVERAGE_POPULARITY: 0.0073791, DIVERSITY_MEAN_INTER_LIST: 0.9924566, DIVERSITY_HERFINDAHL: 0.9992254, COVERAGE_ITEM: 0.4616670, COVERAGE_ITEM_CORRECT: 0.0120038, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0353341, DIVERSITY_GINI: 0.2366313, SHANNON_ENTROPY: 12.6919315, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 874, 'alpha': 0.4314892428895557, 'beta': 1.847901690426616, 'normalize_similarity': True} - results: ROC_AUC: 0.0337905, PRECISION: 0.0063107, PRECISION_RECALL_MIN_DEN: 0.0257628, RECALL: 0.0251683, MAP: 0.0108110, MRR: 0.0224511, NDCG: 0.0168296, F1: 0.0100889, HIT_RATE: 0.0631074, ARHR: 0.0239201, NOVELTY: 0.0059330, AVERAGE_POPULARITY: 0.0071643, DIVERSITY_MEAN_INTER_LIST: 0.9926643, DIVERSITY_HERFINDAHL: 0.9992461, COVERAGE_ITEM: 0.4552223, COVERAGE_ITEM_CORRECT: 0.0115958, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0340254, DIVERSITY_GINI: 0.2242723, SHANNON_ENTROPY: 12.6312245, 
