
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 728, 'shrink': 783, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0828434, PRECISION: 0.0166840, PRECISION_RECALL_MIN_DEN: 0.0696800, RECALL: 0.0683135, MAP: 0.0279827, MRR: 0.0556240, NDCG: 0.0441388, F1: 0.0268167, HIT_RATE: 0.1668398, ARHR: 0.0603555, NOVELTY: 0.0047884, AVERAGE_POPULARITY: 0.0188085, DIVERSITY_MEAN_INTER_LIST: 0.9962484, DIVERSITY_HERFINDAHL: 0.9996045, COVERAGE_ITEM: 0.5797344, COVERAGE_ITEM_CORRECT: 0.0288508, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0868756, DIVERSITY_GINI: 0.2836819, SHANNON_ENTROPY: 12.9776759, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'topK': 101, 'shrink': 551, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0750227, PRECISION: 0.0150975, PRECISION_RECALL_MIN_DEN: 0.0616919, RECALL: 0.0604357, MAP: 0.0246971, MRR: 0.0502087, NDCG: 0.0392220, F1: 0.0241573, HIT_RATE: 0.1509745, ARHR: 0.0543573, NOVELTY: 0.0047625, AVERAGE_POPULARITY: 0.0188674, DIVERSITY_MEAN_INTER_LIST: 0.9962161, DIVERSITY_HERFINDAHL: 0.9996013, COVERAGE_ITEM: 0.5495284, COVERAGE_ITEM_CORRECT: 0.0264100, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0788977, DIVERSITY_GINI: 0.2624675, SHANNON_ENTROPY: 12.8841404, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 774, 'shrink': 598, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0765213, PRECISION: 0.0155072, PRECISION_RECALL_MIN_DEN: 0.0648785, RECALL: 0.0636630, MAP: 0.0250075, MRR: 0.0501065, NDCG: 0.0402543, F1: 0.0249391, HIT_RATE: 0.1550724, ARHR: 0.0541109, NOVELTY: 0.0047453, AVERAGE_POPULARITY: 0.0188576, DIVERSITY_MEAN_INTER_LIST: 0.9955889, DIVERSITY_HERFINDAHL: 0.9995385, COVERAGE_ITEM: 0.5245967, COVERAGE_ITEM_CORRECT: 0.0269259, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0820435, DIVERSITY_GINI: 0.2345633, SHANNON_ENTROPY: 12.6775285, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 765, 'shrink': 557, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0763996, PRECISION: 0.0154620, PRECISION_RECALL_MIN_DEN: 0.0647495, RECALL: 0.0635439, MAP: 0.0249835, MRR: 0.0500504, NDCG: 0.0401927, F1: 0.0248713, HIT_RATE: 0.1546203, ARHR: 0.0540499, NOVELTY: 0.0047451, AVERAGE_POPULARITY: 0.0188610, DIVERSITY_MEAN_INTER_LIST: 0.9955923, DIVERSITY_HERFINDAHL: 0.9995389, COVERAGE_ITEM: 0.5246198, COVERAGE_ITEM_CORRECT: 0.0268489, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0817667, DIVERSITY_GINI: 0.2346025, SHANNON_ENTROPY: 12.6780387, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 533, 'shrink': 976, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0701153, PRECISION: 0.0140120, PRECISION_RECALL_MIN_DEN: 0.0587500, RECALL: 0.0576510, MAP: 0.0234996, MRR: 0.0472914, NDCG: 0.0372147, F1: 0.0225425, HIT_RATE: 0.1401204, ARHR: 0.0509173, NOVELTY: 0.0047561, AVERAGE_POPULARITY: 0.0187359, DIVERSITY_MEAN_INTER_LIST: 0.9953772, DIVERSITY_HERFINDAHL: 0.9995174, COVERAGE_ITEM: 0.4941906, COVERAGE_ITEM_CORRECT: 0.0242310, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0742922, DIVERSITY_GINI: 0.2144362, SHANNON_ENTROPY: 12.5616393, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 115, 'shrink': 110, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0491969, PRECISION: 0.0097352, PRECISION_RECALL_MIN_DEN: 0.0370639, RECALL: 0.0360223, MAP: 0.0151930, MRR: 0.0329548, NDCG: 0.0241097, F1: 0.0153235, HIT_RATE: 0.0973516, ARHR: 0.0354846, NOVELTY: 0.0047869, AVERAGE_POPULARITY: 0.0181154, DIVERSITY_MEAN_INTER_LIST: 0.9860803, DIVERSITY_HERFINDAHL: 0.9985879, COVERAGE_ITEM: 0.3441078, COVERAGE_ITEM_CORRECT: 0.0166468, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0515918, DIVERSITY_GINI: 0.1294971, SHANNON_ENTROPY: 11.7052390, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 163, 'shrink': 905, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0739114, PRECISION: 0.0149911, PRECISION_RECALL_MIN_DEN: 0.0612217, RECALL: 0.0599873, MAP: 0.0245387, MRR: 0.0497987, NDCG: 0.0389669, F1: 0.0239848, HIT_RATE: 0.1499114, ARHR: 0.0538805, NOVELTY: 0.0047583, AVERAGE_POPULARITY: 0.0188447, DIVERSITY_MEAN_INTER_LIST: 0.9960746, DIVERSITY_HERFINDAHL: 0.9995871, COVERAGE_ITEM: 0.5347911, COVERAGE_ITEM_CORRECT: 0.0261867, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0783944, DIVERSITY_GINI: 0.2496083, SHANNON_ENTROPY: 12.8091136, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 522, 'shrink': 680, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0764830, PRECISION: 0.0155766, PRECISION_RECALL_MIN_DEN: 0.0649404, RECALL: 0.0636504, MAP: 0.0250819, MRR: 0.0503874, NDCG: 0.0402878, F1: 0.0250271, HIT_RATE: 0.1557659, ARHR: 0.0545347, NOVELTY: 0.0047431, AVERAGE_POPULARITY: 0.0188641, DIVERSITY_MEAN_INTER_LIST: 0.9957134, DIVERSITY_HERFINDAHL: 0.9995510, COVERAGE_ITEM: 0.5296554, COVERAGE_ITEM_CORRECT: 0.0270106, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0819680, DIVERSITY_GINI: 0.2392365, SHANNON_ENTROPY: 12.7138755, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 799, 'shrink': 318, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0682220, PRECISION: 0.0136925, PRECISION_RECALL_MIN_DEN: 0.0575874, RECALL: 0.0565672, MAP: 0.0228849, MRR: 0.0457629, NDCG: 0.0363538, F1: 0.0220451, HIT_RATE: 0.1369250, ARHR: 0.0491665, NOVELTY: 0.0047519, AVERAGE_POPULARITY: 0.0186958, DIVERSITY_MEAN_INTER_LIST: 0.9949163, DIVERSITY_HERFINDAHL: 0.9994713, COVERAGE_ITEM: 0.4805005, COVERAGE_ITEM_CORRECT: 0.0237151, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0728325, DIVERSITY_GINI: 0.2031713, SHANNON_ENTROPY: 12.4617993, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 480, 'shrink': 625, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0771515, PRECISION: 0.0155398, PRECISION_RECALL_MIN_DEN: 0.0645580, RECALL: 0.0632814, MAP: 0.0257510, MRR: 0.0505754, NDCG: 0.0407128, F1: 0.0249498, HIT_RATE: 0.1553978, ARHR: 0.0548921, NOVELTY: 0.0048002, AVERAGE_POPULARITY: 0.0180015, DIVERSITY_MEAN_INTER_LIST: 0.9955429, DIVERSITY_HERFINDAHL: 0.9995339, COVERAGE_ITEM: 0.4896015, COVERAGE_ITEM_CORRECT: 0.0268489, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0810369, DIVERSITY_GINI: 0.2203404, SHANNON_ENTROPY: 12.6213171, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 23, 'shrink': 547, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0771754, PRECISION: 0.0152820, PRECISION_RECALL_MIN_DEN: 0.0637079, RECALL: 0.0625011, MAP: 0.0260084, MRR: 0.0512334, NDCG: 0.0407470, F1: 0.0245579, HIT_RATE: 0.1528201, ARHR: 0.0555307, NOVELTY: 0.0047576, AVERAGE_POPULARITY: 0.0179065, DIVERSITY_MEAN_INTER_LIST: 0.9945758, DIVERSITY_HERFINDAHL: 0.9994373, COVERAGE_ITEM: 0.5711030, COVERAGE_ITEM_CORRECT: 0.0268104, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0800554, DIVERSITY_GINI: 0.2810157, SHANNON_ENTROPY: 12.9061598, 
