
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 859, 'shrink': 714, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.47430081963291515, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1008368, PRECISION: 0.0217621, PRECISION_RECALL_MIN_DEN: 0.0803290, RECALL: 0.0779821, MAP: 0.0338736, MRR: 0.0700237, NDCG: 0.0526714, F1: 0.0340256, HIT_RATE: 0.2176207, ARHR: 0.0791840, NOVELTY: 0.0052786, AVERAGE_POPULARITY: 0.0183285, DIVERSITY_MEAN_INTER_LIST: 0.9973245, DIVERSITY_HERFINDAHL: 0.9997148, COVERAGE_ITEM: 0.5659442, COVERAGE_ITEM_CORRECT: 0.0418787, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1217818, DIVERSITY_GINI: 0.2541131, SHANNON_ENTROPY: 12.8950532, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'topK': 907, 'shrink': 450, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6065247752392838, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1035091, PRECISION: 0.0222466, PRECISION_RECALL_MIN_DEN: 0.0820335, RECALL: 0.0796026, MAP: 0.0348766, MRR: 0.0722777, NDCG: 0.0540245, F1: 0.0347717, HIT_RATE: 0.2224662, ARHR: 0.0817546, NOVELTY: 0.0052799, AVERAGE_POPULARITY: 0.0182122, DIVERSITY_MEAN_INTER_LIST: 0.9975155, DIVERSITY_HERFINDAHL: 0.9997339, COVERAGE_ITEM: 0.5778556, COVERAGE_ITEM_CORRECT: 0.0427257, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1243236, DIVERSITY_GINI: 0.2680069, SHANNON_ENTROPY: 12.9865379, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 580, 'shrink': 370, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.07562688629600235, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0226495, PRECISION: 0.0041109, PRECISION_RECALL_MIN_DEN: 0.0125787, RECALL: 0.0118990, MAP: 0.0055769, MRR: 0.0158408, NDCG: 0.0089737, F1: 0.0061076, HIT_RATE: 0.0411088, ARHR: 0.0165627, NOVELTY: 0.0053568, AVERAGE_POPULARITY: 0.0137252, DIVERSITY_MEAN_INTER_LIST: 0.9894093, DIVERSITY_HERFINDAHL: 0.9989234, COVERAGE_ITEM: 0.2155072, COVERAGE_ITEM_CORRECT: 0.0076458, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0265509, DIVERSITY_GINI: 0.0658481, SHANNON_ENTROPY: 10.9810246, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'topK': 270, 'shrink': 332, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.24457867839169795, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1072114, PRECISION: 0.0230244, PRECISION_RECALL_MIN_DEN: 0.0836397, RECALL: 0.0810377, MAP: 0.0357135, MRR: 0.0749041, NDCG: 0.0553595, F1: 0.0358593, HIT_RATE: 0.2302436, ARHR: 0.0852092, NOVELTY: 0.0052841, AVERAGE_POPULARITY: 0.0179921, DIVERSITY_MEAN_INTER_LIST: 0.9980151, DIVERSITY_HERFINDAHL: 0.9997839, COVERAGE_ITEM: 0.6123965, COVERAGE_ITEM_CORRECT: 0.0446814, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1272682, DIVERSITY_GINI: 0.3016961, SHANNON_ENTROPY: 13.1841415, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 914, 'shrink': 694, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.5973340500900741, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0072305, PRECISION: 0.0013043, PRECISION_RECALL_MIN_DEN: 0.0036991, RECALL: 0.0033952, MAP: 0.0014024, MRR: 0.0041793, NDCG: 0.0023811, F1: 0.0018814, HIT_RATE: 0.0130425, ARHR: 0.0042519, NOVELTY: 0.0053507, AVERAGE_POPULARITY: 0.0101804, DIVERSITY_MEAN_INTER_LIST: 0.9418132, DIVERSITY_HERFINDAHL: 0.9941647, COVERAGE_ITEM: 0.0689817, COVERAGE_ITEM_CORRECT: 0.0021790, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0089845, DIVERSITY_GINI: 0.0094729, SHANNON_ENTROPY: 8.1964743, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 503, 'shrink': 531, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.0212648758404297, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0072789, PRECISION: 0.0013149, PRECISION_RECALL_MIN_DEN: 0.0044652, RECALL: 0.0042312, MAP: 0.0014757, MRR: 0.0047301, NDCG: 0.0026619, F1: 0.0020020, HIT_RATE: 0.0131492, ARHR: 0.0048388, NOVELTY: 0.0052953, AVERAGE_POPULARITY: 0.0113955, DIVERSITY_MEAN_INTER_LIST: 0.9431746, DIVERSITY_HERFINDAHL: 0.9943008, COVERAGE_ITEM: 0.1004350, COVERAGE_ITEM_CORRECT: 0.0022098, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0090600, DIVERSITY_GINI: 0.0139751, SHANNON_ENTROPY: 8.5148475, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 815, 'shrink': 510, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.2879665359233594, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0068442, PRECISION: 0.0011736, PRECISION_RECALL_MIN_DEN: 0.0035121, RECALL: 0.0032606, MAP: 0.0012738, MRR: 0.0044524, NDCG: 0.0022470, F1: 0.0017229, HIT_RATE: 0.0117363, ARHR: 0.0045454, NOVELTY: 0.0053400, AVERAGE_POPULARITY: 0.0115526, DIVERSITY_MEAN_INTER_LIST: 0.9245636, DIVERSITY_HERFINDAHL: 0.9924400, COVERAGE_ITEM: 0.0744562, COVERAGE_ITEM_CORRECT: 0.0019018, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0080534, DIVERSITY_GINI: 0.0090937, SHANNON_ENTROPY: 7.9840490, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 494, 'shrink': 428, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6712232983742955, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0086418, PRECISION: 0.0019049, PRECISION_RECALL_MIN_DEN: 0.0072575, RECALL: 0.0070162, MAP: 0.0019931, MRR: 0.0050399, NDCG: 0.0038409, F1: 0.0029940, HIT_RATE: 0.0190495, ARHR: 0.0052046, NOVELTY: 0.0053014, AVERAGE_POPULARITY: 0.0107837, DIVERSITY_MEAN_INTER_LIST: 0.9506018, DIVERSITY_HERFINDAHL: 0.9950434, COVERAGE_ITEM: 0.1261059, COVERAGE_ITEM_CORRECT: 0.0034572, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0129609, DIVERSITY_GINI: 0.0191572, SHANNON_ENTROPY: 8.8900053, 

