
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 139, 'shrink': 720, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.3683541415129719, 'feature_weighting': 'none', 'icm_weight': 14.938572560058919} - results: ROC_AUC: 0.0504933, PRECISION: 0.0099357, PRECISION_RECALL_MIN_DEN: 0.0380830, RECALL: 0.0371463, MAP: 0.0155880, MRR: 0.0340893, NDCG: 0.0249394, F1: 0.0156773, HIT_RATE: 0.0993574, ARHR: 0.0366992, NOVELTY: 0.0047568, AVERAGE_POPULARITY: 0.0165213, DIVERSITY_MEAN_INTER_LIST: 0.9954770, DIVERSITY_HERFINDAHL: 0.9995274, COVERAGE_ITEM: 0.5376477, COVERAGE_ITEM_CORRECT: 0.0174398, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0520700, DIVERSITY_GINI: 0.2516542, SHANNON_ENTROPY: 12.7906911, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'topK': 511, 'shrink': 104, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.13683471176878073, 'feature_weighting': 'none', 'icm_weight': 8.96014033884051} - results: ROC_AUC: 0.0598685, PRECISION: 0.0116529, PRECISION_RECALL_MIN_DEN: 0.0446581, RECALL: 0.0436442, MAP: 0.0190189, MRR: 0.0405737, NDCG: 0.0298479, F1: 0.0183925, HIT_RATE: 0.1165292, ARHR: 0.0437728, NOVELTY: 0.0047555, AVERAGE_POPULARITY: 0.0170806, DIVERSITY_MEAN_INTER_LIST: 0.9961810, DIVERSITY_HERFINDAHL: 0.9995977, COVERAGE_ITEM: 0.5256285, COVERAGE_ITEM_CORRECT: 0.0200885, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0613817, DIVERSITY_GINI: 0.2554887, SHANNON_ENTROPY: 12.8547991, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'topK': 473, 'shrink': 559, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.1252104797242601, 'feature_weighting': 'BM25', 'icm_weight': 19.56783248873725} - results: ROC_AUC: 0.0757643, PRECISION: 0.0151404, PRECISION_RECALL_MIN_DEN: 0.0630085, RECALL: 0.0618171, MAP: 0.0246791, MRR: 0.0498601, NDCG: 0.0395543, F1: 0.0243208, HIT_RATE: 0.1514038, ARHR: 0.0537936, NOVELTY: 0.0045817, AVERAGE_POPULARITY: 0.0145811, DIVERSITY_MEAN_INTER_LIST: 0.9959862, DIVERSITY_HERFINDAHL: 0.9995783, COVERAGE_ITEM: 0.5078884, COVERAGE_ITEM_CORRECT: 0.0266487, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0800302, DIVERSITY_GINI: 0.2340925, SHANNON_ENTROPY: 12.7338863, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 573, 'shrink': 56, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.8566521472452437, 'feature_weighting': 'none', 'icm_weight': 17.07877953702017} - results: ROC_AUC: 0.0289374, PRECISION: 0.0056573, PRECISION_RECALL_MIN_DEN: 0.0201779, RECALL: 0.0195024, MAP: 0.0073463, MRR: 0.0187010, NDCG: 0.0126385, F1: 0.0087627, HIT_RATE: 0.0565734, ARHR: 0.0194742, NOVELTY: 0.0047194, AVERAGE_POPULARITY: 0.0158116, DIVERSITY_MEAN_INTER_LIST: 0.9934952, DIVERSITY_HERFINDAHL: 0.9993292, COVERAGE_ITEM: 0.3011203, COVERAGE_ITEM_CORRECT: 0.0095322, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0319869, DIVERSITY_GINI: 0.1182967, SHANNON_ENTROPY: 11.8059701, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 262, 'shrink': 285, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.044985551293476485, 'feature_weighting': 'none', 'icm_weight': 12.789578303748002} - results: ROC_AUC: 0.0561577, PRECISION: 0.0109902, PRECISION_RECALL_MIN_DEN: 0.0417803, RECALL: 0.0408146, MAP: 0.0180149, MRR: 0.0385133, NDCG: 0.0281472, F1: 0.0173151, HIT_RATE: 0.1099020, ARHR: 0.0415894, NOVELTY: 0.0047465, AVERAGE_POPULARITY: 0.0160077, DIVERSITY_MEAN_INTER_LIST: 0.9960036, DIVERSITY_HERFINDAHL: 0.9995800, COVERAGE_ITEM: 0.5063946, COVERAGE_ITEM_CORRECT: 0.0191723, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0577325, DIVERSITY_GINI: 0.2420157, SHANNON_ENTROPY: 12.7792598, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 56, 'shrink': 991, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.1637042686450065, 'feature_weighting': 'none', 'icm_weight': 14.76261755326798} - results: ROC_AUC: 0.0517475, PRECISION: 0.0100417, PRECISION_RECALL_MIN_DEN: 0.0383154, RECALL: 0.0374036, MAP: 0.0162785, MRR: 0.0353154, NDCG: 0.0256498, F1: 0.0158322, HIT_RATE: 0.1004166, ARHR: 0.0380870, NOVELTY: 0.0047451, AVERAGE_POPULARITY: 0.0162542, DIVERSITY_MEAN_INTER_LIST: 0.9951428, DIVERSITY_HERFINDAHL: 0.9994939, COVERAGE_ITEM: 0.5542175, COVERAGE_ITEM_CORRECT: 0.0177478, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0524978, DIVERSITY_GINI: 0.2642828, SHANNON_ENTROPY: 12.8455470, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 495, 'shrink': 56, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.8283328596254547, 'feature_weighting': 'none', 'icm_weight': 4.515022743777803} - results: ROC_AUC: 0.0665484, PRECISION: 0.0133482, PRECISION_RECALL_MIN_DEN: 0.0504437, RECALL: 0.0492933, MAP: 0.0206275, MRR: 0.0451519, NDCG: 0.0331259, F1: 0.0210066, HIT_RATE: 0.1334816, ARHR: 0.0489459, NOVELTY: 0.0047313, AVERAGE_POPULARITY: 0.0209179, DIVERSITY_MEAN_INTER_LIST: 0.9963660, DIVERSITY_HERFINDAHL: 0.9996162, COVERAGE_ITEM: 0.5604466, COVERAGE_ITEM_CORRECT: 0.0224370, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0694350, DIVERSITY_GINI: 0.2710707, SHANNON_ENTROPY: 12.9360303, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 700, 'shrink': 342, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.5085224805174853, 'feature_weighting': 'BM25', 'icm_weight': 5.52793979649071} - results: ROC_AUC: 0.0697683, PRECISION: 0.0142941, PRECISION_RECALL_MIN_DEN: 0.0588780, RECALL: 0.0577970, MAP: 0.0224109, MRR: 0.0460431, NDCG: 0.0365042, F1: 0.0229178, HIT_RATE: 0.1429412, ARHR: 0.0496722, NOVELTY: 0.0045540, AVERAGE_POPULARITY: 0.0139398, DIVERSITY_MEAN_INTER_LIST: 0.9959659, DIVERSITY_HERFINDAHL: 0.9995762, COVERAGE_ITEM: 0.4873378, COVERAGE_ITEM_CORRECT: 0.0250857, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0755505, DIVERSITY_GINI: 0.2200779, SHANNON_ENTROPY: 12.6643790, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 979, 'shrink': 840, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.2660122203108344, 'feature_weighting': 'TF-IDF', 'icm_weight': 8.901964577372308} - results: ROC_AUC: 0.0646989, PRECISION: 0.0134066, PRECISION_RECALL_MIN_DEN: 0.0517137, RECALL: 0.0504364, MAP: 0.0193757, MRR: 0.0425727, NDCG: 0.0321553, F1: 0.0211802, HIT_RATE: 0.1340664, ARHR: 0.0460575, NOVELTY: 0.0046956, AVERAGE_POPULARITY: 0.0166877, DIVERSITY_MEAN_INTER_LIST: 0.9960038, DIVERSITY_HERFINDAHL: 0.9995800, COVERAGE_ITEM: 0.5304408, COVERAGE_ITEM_CORRECT: 0.0231915, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0704417, DIVERSITY_GINI: 0.2501788, SHANNON_ENTROPY: 12.8104333, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 836, 'shrink': 434, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.3664905011110962, 'feature_weighting': 'none', 'icm_weight': 19.695322511256727} - results: ROC_AUC: 0.0585817, PRECISION: 0.0116564, PRECISION_RECALL_MIN_DEN: 0.0444638, RECALL: 0.0434672, MAP: 0.0189930, MRR: 0.0404678, NDCG: 0.0297996, F1: 0.0183818, HIT_RATE: 0.1165639, ARHR: 0.0436974, NOVELTY: 0.0047710, AVERAGE_POPULARITY: 0.0165703, DIVERSITY_MEAN_INTER_LIST: 0.9962728, DIVERSITY_HERFINDAHL: 0.9996069, COVERAGE_ITEM: 0.5524697, COVERAGE_ITEM_CORRECT: 0.0203888, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0610797, DIVERSITY_GINI: 0.2697918, SHANNON_ENTROPY: 12.9235793, 
