
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 653, 'shrink': 748, 'similarity': 'jaccard', 'normalize': False, 'icm_weight': 10.002931720939522} - results: ROC_AUC: 0.1105765, PRECISION: 0.0219614, PRECISION_RECALL_MIN_DEN: 0.0895993, RECALL: 0.0878695, MAP: 0.0374013, MRR: 0.0748725, NDCG: 0.0583569, F1: 0.0351389, HIT_RATE: 0.2196136, ARHR: 0.0818640, NOVELTY: 0.0047140, AVERAGE_POPULARITY: 0.0603784, DIVERSITY_MEAN_INTER_LIST: 0.9927053, DIVERSITY_HERFINDAHL: 0.9992502, COVERAGE_ITEM: 0.4534822, COVERAGE_ITEM_CORRECT: 0.0295592, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1122688, DIVERSITY_GINI: 0.1802005, SHANNON_ENTROPY: 12.1708433, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'topK': 381, 'shrink': 491, 'similarity': 'jaccard', 'normalize': True, 'icm_weight': 18.380126001725028} - results: ROC_AUC: 0.1106326, PRECISION: 0.0220388, PRECISION_RECALL_MIN_DEN: 0.0893379, RECALL: 0.0875406, MAP: 0.0375105, MRR: 0.0751367, NDCG: 0.0583628, F1: 0.0352104, HIT_RATE: 0.2203882, ARHR: 0.0821834, NOVELTY: 0.0047114, AVERAGE_POPULARITY: 0.0582667, DIVERSITY_MEAN_INTER_LIST: 0.9932729, DIVERSITY_HERFINDAHL: 0.9993070, COVERAGE_ITEM: 0.4709066, COVERAGE_ITEM_CORRECT: 0.0299365, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1126463, DIVERSITY_GINI: 0.1940507, SHANNON_ENTROPY: 12.2937914, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 879, 'shrink': 221, 'similarity': 'jaccard', 'normalize': True, 'icm_weight': 9.491171831789918} - results: ROC_AUC: 0.1073543, PRECISION: 0.0214830, PRECISION_RECALL_MIN_DEN: 0.0877489, RECALL: 0.0861150, MAP: 0.0364564, MRR: 0.0724192, NDCG: 0.0569902, F1: 0.0343846, HIT_RATE: 0.2148297, ARHR: 0.0789516, NOVELTY: 0.0047432, AVERAGE_POPULARITY: 0.0510890, DIVERSITY_MEAN_INTER_LIST: 0.9939696, DIVERSITY_HERFINDAHL: 0.9993766, COVERAGE_ITEM: 0.4589644, COVERAGE_ITEM_CORRECT: 0.0301367, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1107336, DIVERSITY_GINI: 0.1883142, SHANNON_ENTROPY: 12.3071230, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'topK': 100, 'shrink': 694, 'similarity': 'jaccard', 'normalize': False, 'icm_weight': 15.566263173944517} - results: ROC_AUC: 0.1123994, PRECISION: 0.0226698, PRECISION_RECALL_MIN_DEN: 0.0911855, RECALL: 0.0892813, MAP: 0.0382352, MRR: 0.0766825, NDCG: 0.0595064, F1: 0.0361558, HIT_RATE: 0.2266980, ARHR: 0.0844158, NOVELTY: 0.0046925, AVERAGE_POPULARITY: 0.0607625, DIVERSITY_MEAN_INTER_LIST: 0.9931652, DIVERSITY_HERFINDAHL: 0.9992962, COVERAGE_ITEM: 0.5086737, COVERAGE_ITEM_CORRECT: 0.0311068, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1145086, DIVERSITY_GINI: 0.2199240, SHANNON_ENTROPY: 12.4295853, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 591, 'shrink': 506, 'similarity': 'jaccard', 'normalize': False, 'icm_weight': 16.936038490874296} - results: ROC_AUC: 0.1102355, PRECISION: 0.0218757, PRECISION_RECALL_MIN_DEN: 0.0890762, RECALL: 0.0873325, MAP: 0.0373032, MRR: 0.0747017, NDCG: 0.0581252, F1: 0.0349856, HIT_RATE: 0.2187568, ARHR: 0.0817566, NOVELTY: 0.0047187, AVERAGE_POPULARITY: 0.0581419, DIVERSITY_MEAN_INTER_LIST: 0.9931123, DIVERSITY_HERFINDAHL: 0.9992909, COVERAGE_ITEM: 0.4585871, COVERAGE_ITEM_CORRECT: 0.0298672, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1113879, DIVERSITY_GINI: 0.1849440, SHANNON_ENTROPY: 12.2278037, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 588, 'shrink': 214, 'similarity': 'jaccard', 'normalize': True, 'icm_weight': 11.85596060440974} - results: ROC_AUC: 0.1087687, PRECISION: 0.0216957, PRECISION_RECALL_MIN_DEN: 0.0884340, RECALL: 0.0867121, MAP: 0.0368414, MRR: 0.0734231, NDCG: 0.0574955, F1: 0.0347058, HIT_RATE: 0.2169570, ARHR: 0.0803589, NOVELTY: 0.0047410, AVERAGE_POPULARITY: 0.0510381, DIVERSITY_MEAN_INTER_LIST: 0.9941316, DIVERSITY_HERFINDAHL: 0.9993928, COVERAGE_ITEM: 0.4694283, COVERAGE_ITEM_CORRECT: 0.0305525, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1106833, DIVERSITY_GINI: 0.1961875, SHANNON_ENTROPY: 12.3670752, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 11, 'shrink': 269, 'similarity': 'jaccard', 'normalize': False, 'icm_weight': 11.523206340105272} - results: ROC_AUC: 0.1023297, PRECISION: 0.0201787, PRECISION_RECALL_MIN_DEN: 0.0813434, RECALL: 0.0796807, MAP: 0.0348185, MRR: 0.0696400, NDCG: 0.0537938, F1: 0.0321998, HIT_RATE: 0.2017874, ARHR: 0.0760782, NOVELTY: 0.0046786, AVERAGE_POPULARITY: 0.0515729, DIVERSITY_MEAN_INTER_LIST: 0.9888031, DIVERSITY_HERFINDAHL: 0.9988601, COVERAGE_ITEM: 0.5654822, COVERAGE_ITEM_CORRECT: 0.0294283, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1030326, DIVERSITY_GINI: 0.2511833, SHANNON_ENTROPY: 12.4406928, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 329, 'shrink': 928, 'similarity': 'jaccard', 'normalize': True, 'icm_weight': 10.895560832783717} - results: ROC_AUC: 0.1114149, PRECISION: 0.0221333, PRECISION_RECALL_MIN_DEN: 0.0894545, RECALL: 0.0876319, MAP: 0.0376128, MRR: 0.0760899, NDCG: 0.0585846, F1: 0.0353391, HIT_RATE: 0.2213326, ARHR: 0.0832042, NOVELTY: 0.0047035, AVERAGE_POPULARITY: 0.0617587, DIVERSITY_MEAN_INTER_LIST: 0.9927466, DIVERSITY_HERFINDAHL: 0.9992544, COVERAGE_ITEM: 0.4718383, COVERAGE_ITEM_CORRECT: 0.0295746, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1126966, DIVERSITY_GINI: 0.1932636, SHANNON_ENTROPY: 12.2564085, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 146, 'shrink': 322, 'similarity': 'jaccard', 'normalize': False, 'icm_weight': 5.310021172736082} - results: ROC_AUC: 0.1109565, PRECISION: 0.0224004, PRECISION_RECALL_MIN_DEN: 0.0908109, RECALL: 0.0889798, MAP: 0.0377671, MRR: 0.0759513, NDCG: 0.0589819, F1: 0.0357881, HIT_RATE: 0.2240043, ARHR: 0.0832924, NOVELTY: 0.0047125, AVERAGE_POPULARITY: 0.0555771, DIVERSITY_MEAN_INTER_LIST: 0.9939254, DIVERSITY_HERFINDAHL: 0.9993722, COVERAGE_ITEM: 0.5033224, COVERAGE_ITEM_CORRECT: 0.0313070, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1138795, DIVERSITY_GINI: 0.2190224, SHANNON_ENTROPY: 12.4755432, 
