user_id,item_list
0,1447 25878 4927 13219 12543 9851 5161 15830 13884 23417
1,19089 23600 12409 19709 20095 16630 19480 3165 8894 8431
2,14353 25693 2824 5566 3164 5923 6662 16901 4401 8877
3,22487 519 16086 17820 13592 5412 18569 24093 12157 3942
4,9243 1611 4927 11384 21552 11792 11796 18692 11067 19704
5,8097 4257 12214 25407 17819 5952 16172 8322 14706 15691
6,25044 24383 23906 4824 14356 2426 13102 14020 18173 681
7,4314 8104 17332 13840 12181 11300 19189 14682 21270 4209
8,25407 2426 15691 1583 10834 23154 6734 10594 6878 13711
9,9609 19792 25779 10132 3699 23600 19089 15782 13615 14978
10,3556 12906 19792 22923 17557 18751 20168 12375 11361 13775
11,3220 22956 7856 4661 15586 8296 11726 12951 20876 9690
12,2823 2281 1592 19114 20211 24546 23711 5546 18790 19291
13,11533 20969 23154 25407 1770 6734 2236 9992 10834 10594
14,20644 18499 11848 25407 18500 18859 13887 3641 681 7115
15,24546 21611 25766 12643 17130 13433 7839 8805 19281 6
16,7913 4502 19874 17305 9018 14684 14158 12214 21416 14137
17,19089 17723 20146 9438 19480 12409 16630 2665 8894 5942
18,18793 5032 7267 12048 15778 20300 9769 22385 4936 7448
19,2426 9555 15691 23154 10834 1583 10594 12818 7095 10981
20,5078 6893 23465 25957 15398 13616 8606 15234 13228 7197
21,23778 18788 3875 24366 16803 18901 13138 19198 4919 2646
22,6616 1668 9487 17368 17899 11597 9824 10005 7331 14583
23,6200 988 16496 17836 11293 16577 6454 23562 9017 14835
24,14291 19480 19709 11730 19089 4209 14895 13797 12061 20108
25,7115 12844 7405 983 823 7494 10640 8131 17257 18684
26,20496 23711 5717 21975 9029 867 11792 19781 25675 18692
27,5044 17820 8158 57 5562 16188 24355 24484 3572 23628
28,7920 6551 8673 9220 22881 19424 23835 2233 15620 17847
29,14684 5078 19874 25957 17668 24914 7852 5193 8667 21428
30,8544 21552 11384 9243 5717 24621 3835 1863 2868 22511
31,2001 13226 23651 16793 6446 19340 23468 10162 22226 17013
32,1573 9620 290 23154 18574 10640 7115 983 2643 5966
33,10269 25675 9438 5942 22554 25260 23799 12061 13424 20174
34,1803 1959 21677 24546 19007 17323 23324 21624 5446 25839
35,9620 14826 15325 9352 19630 24445 823 8914 22121 9782
36,25407 2426 15691 6734 1583 16928 22848 23141 9701 18392
37,19480 19709 10009 19524 1639 14755 3647 1008 3165 14163
38,1863 12061 8560 24075 21552 6088 13628 25675 180 2996
39,2220 23816 2178 1114 8526 24799 1812 21872 15187 7181
40,25407 8097 5044 20146 20095 15691 24075 16630 19709 19089
41,8544 8524 19189 24410 7639 11317 17322 11408 13219 20496
42,20553 4502 6612 7494 25407 13663 11533 20544 18512 19874
43,12696 966 3469 610 15536 23854 8256 25491 552 4720
44,17470 5093 23324 8475 8077 25355 11576 24839 20520 25185
45,19089 7494 11658 19525 17723 8894 19487 24128 8431 16630
46,11792 23536 19114 13541 23711 4620 6088 18190 15459 9029
47,18852 19326 4032 21912 4738 7993 19281 16124 6954 6369
48,24985 13552 4781 5284 14684 19874 13433 10626 13178 21071
49,12585 25253 18549 5787 4302 8904 1738 22757 23846 9646
50,2426 9555 10594 1583 10834 7991 12818 6734 23141 18392
