user_id,item_list
0,25878 13219 1447 4927 1256 4518 6548 25582 1560 6919
1,19089 23600 12409 19709 20095 3165 16630 8431 19480 8894
2,14353 5566 16901 3164 2824 5451 25693 19515 11764 991
3,22487 17820 12473 10689 16086 9087 16857 3942 1651 5412
4,9243 1611 13427 11384 19704 4927 18692 11796 11792 11067
5,8097 16172 17819 14706 19152 8322 15150 9301 21373 8089
6,25044 24383 23906 14020 4824 3382 5126 5808 17252 16617
7,17332 4314 14682 13840 12181 8104 21270 8499 7646 4228
8,25407 6878 2426 25138 10834 1583 21123 15691 13711 10594
9,19792 9609 25779 3699 15782 17092 10132 14978 12375 13390
10,3556 12906 19792 17557 22923 18751 23361 20168 12375 11361
11,3220 4661 22956 7856 15586 11726 12951 14310 16175 21262
12,2281 2823 19291 1592 20211 5447 24546 6235 10380 8593
13,20969 11533 6446 3382 4213 9992 23880 1770 13293 23430
14,3641 20644 18499 21541 11848 18500 25407 16999 25649 7115
15,24546 5076 12643 22817 6 17130 25766 5709 21611 12230
16,7913 4502 19217 17305 12752 10769 9018 25585 12268 20888
17,23778 17723 19089 7245 20146 9438 9358 23600 14033 2665
18,18793 5032 12048 7267 20300 19190 13609 15778 4936 18649
19,2426 9555 15691 6327 10834 23154 10981 7095 12818 16928
20,8606 6893 23465 5078 15398 25957 14132 13616 19907 18021
21,23778 18788 3875 24366 16803 19198 4919 4224 18901 12344
22,9487 1668 6616 11597 17899 23206 7331 17368 14583 9824
23,6200 988 16496 11293 17836 25018 21806 17143 6454 22680
24,14291 19480 13797 11730 20108 13310 14895 19709 16630 19910
25,7115 12844 983 7405 10640 823 12385 25674 8131 18684
26,23711 867 5717 11792 21975 20496 19781 9029 23056 10530
27,57 8158 17820 5562 21527 5044 22270 24484 23628 14609
28,6551 7920 23835 2233 8742 9220 8673 21523 3687 22881
29,14684 5078 5193 19874 25957 24914 5765 23770 21428 7852
30,8544 21552 24621 11384 3835 9243 20496 5717 22511 25491
31,2001 13226 15489 23593 7363 17688 24887 19340 5225 23651
32,1573 18574 9620 290 7115 10640 983 5671 23154 22010
33,10269 25675 9438 17409 5942 12061 22554 23799 9851 23485
34,1959 1803 19007 21624 23324 3966 24546 9520 12230 17808
35,9620 9352 8914 14826 15325 16844 11830 873 24445 22182
36,25407 2426 6734 15691 16928 1583 22848 16906 17156 22651
37,3647 1639 1008 19480 14755 3620 21215 10528 19957 22404
38,1863 8560 12061 13628 6088 21552 4940 21062 2996 11792
39,2220 2178 7321 23816 21872 1114 7181 15187 24524 24736
40,25407 5044 8097 24075 16630 20146 15691 20095 19089 19709
41,14266 17322 17225 6599 1682 19189 15309 14989 21950 8544
42,20553 6612 24070 13663 11533 4502 7494 13870 18512 12182
43,23854 12696 15536 8256 966 1184 12770 7615 610 8366
44,17470 23324 5093 20520 8475 17374 25185 11576 16473 25209
45,19525 19089 11658 17723 16948 19487 7494 24128 25873 21049
46,23536 11792 4620 13541 15459 22359 18190 19114 3983 6088
47,19326 18852 4032 21912 4738 16124 19281 7993 6369 16998
48,4781 13552 16893 24985 13178 5284 14684 10626 19874 303
49,12585 25253 18549 4302 5787 8904 23846 9646 24664 24746
50,2426 9555 10594 1583 7991 10834 6734 12818 7727 23141
51,24075 25675 22554 10845 561 942 5942 4957 6628 7494
52,13194 22056 20199 25009 11449 14767 4502 2919 8268 24355
53,17874 11115 17697 10488 11134 21008 22126 17339 1273 16790
54,3803 25675 19401 19564 20439 7202 15564 22554 18293 12923
55,15562 2122 678 14009 13842 7934 22816 10258 4064 17570
56,11987 11741 5413 10384 3668 4638 3348 20933 6267 17079
57,25656 11378 23136 6049 24791 75 2390 2436 18076 20445
58,5930 11197 16577 12601 306 625 12943 22324 1259 10524
59,11223 8531 8841 9005 23950 6544 10803 19668 2846 23042
60,3527 13810 762 16843 25526 6096 5101 175 7805 2237
61,14378 8914 9090 24747 9782 6446 10653 8826 3646 6709
62,11527 12759 16394 10311 23895 3775 4481 19150 24378 8097
63,8654 21051 13231 13424 557 13502 5905 25327 3456 13729
