user_id,item_list
0,1447 13219 4927 25878 5161 15708 1560 6548 2607 12543
1,19089 23600 12409 20095 19709 16630 3165 8431 8894 19480
2,14353 5566 19515 2824 25653 5451 19881 5923 9950 3164
3,9087 12462 22487 16086 3942 16857 7471 5412 3997 20905
4,9243 1611 13427 4927 18692 433 10997 11384 22730 19704
5,8097 16172 8322 14706 7494 17819 7013 12214 11527 21373
6,25044 24383 4824 23906 14020 17252 11578 15176 3382 13102
7,17332 4314 14682 12181 13840 7238 8104 3850 7646 4228
8,25407 15691 1583 2426 10834 13711 6878 23154 6734 10594
9,19792 9609 15782 17092 5741 25779 3699 13390 10132 12375
10,3556 12906 18751 11361 17557 19792 20168 23361 12375 22923
11,3220 4661 22956 7856 21262 15586 16175 12951 8488 3935
12,19291 6235 2281 2823 5447 1592 20211 10380 8593 24546
13,20969 9992 4213 11533 11924 1770 6446 25407 3382 19468
14,3641 18499 20644 18500 21541 20918 16999 11848 23309 21099
15,21611 24546 12643 19563 22817 5076 6 5709 12661 5360
16,7913 4502 17305 9018 8175 14137 21416 8400 17514 14158
17,19089 9438 17723 20146 12409 16630 5942 23600 19480 23778
18,18793 5032 12048 7267 20300 19190 18649 13609 4936 9769
19,2426 9555 15691 23154 10834 1583 12818 7095 10594 10981
20,6893 8606 14132 5925 23465 15398 18021 5078 9633 25957
21,23778 18788 24366 3875 16803 19198 4919 13138 4224 12344
22,1668 9487 6616 17899 17368 11597 9824 7331 14583 13494
23,6200 988 16496 17836 11293 6454 16577 23562 9017 14835
24,14291 19480 13797 8935 4095 11730 19709 20108 14895 1258
25,12844 7115 7405 983 10640 12385 18574 290 20656 10848
26,23056 21975 867 19781 23711 10530 21552 16245 20496 11067
27,8158 57 5562 5044 11706 17820 21527 14609 24484 23628
28,7920 8742 23835 6551 2233 9220 21523 22881 17847 8673
29,5193 14684 25957 19874 5765 21428 24914 5078 7030 7852
30,8544 21552 24621 22511 9243 3835 11384 20496 25491 21975
31,2001 13226 23651 23468 19340 16793 17013 10162 22226 13081
32,18574 1573 9620 290 5966 983 10640 7115 2643 20656
33,10269 9438 25675 5942 12061 22554 10786 9851 25260 23799
34,1959 1803 19007 23324 16124 3966 24546 21677 21624 25839
