user_id,item_list
0,1447 25878 13219 4927 15830 6548 1256 9851 4518 12543
1,19089 23600 12409 19709 20095 3165 16630 19480 8431 8894
2,2824 3164 991 5451 14353 5566 14275 11764 13782 7849
3,22487 12473 3942 20905 24093 24075 16857 18569 17820 5412
4,9243 1611 11384 13427 4927 14715 21552 11792 19704 11796
5,8097 14706 7494 17819 21538 16172 15150 7013 19152 23086
6,25044 23906 24383 4824 14020 5808 3382 17252 24994 5126
7,13840 17332 8499 3850 7646 14682 24134 12181 21019 4209
8,25407 2426 23154 1583 6878 6734 10594 13711 10834 15691
9,19792 9609 25779 10132 3699 11905 9139 16375 15782 13390
10,3556 12906 19792 18751 11361 12375 23361 22923 660 23026
11,3220 22956 4661 7856 8296 20876 3935 12951 16175 12890
12,19291 2281 2823 5447 1592 2016 10380 6235 8593 20211
13,20969 25407 11533 9992 6446 23154 11924 3382 19468 4213
14,3641 18499 20644 18500 11848 25407 16793 16999 20918 22617
15,22817 5709 12643 19563 12903 4025 12065 3722 25766 17130
16,7913 4502 17305 19874 14158 8175 9018 14137 21909 17514
17,20146 17723 20404 9438 7030 23844 19089 2665 23778 19577
18,18793 5032 12048 13609 20300 18649 22903 19190 15778 23697
19,2426 15691 9555 23154 10834 10594 12818 1583 7095 6734
20,5078 15398 8606 15234 25517 25957 13616 23465 5925 19907
21,18788 23778 16803 24366 3875 4224 2646 18901 21786 12344
22,9487 6616 1668 11597 17368 20911 17899 14583 20163 7331
23,6200 16496 988 17836 11293 16577 6454 23562 14835 17143
24,14291 19480 13797 11730 14895 20108 19709 19089 19910 9339
25,7115 12844 10640 7405 983 25674 823 12385 7494 290
26,23711 5717 23056 20496 867 21975 9029 11792 16245 25675
27,5044 8158 17820 57 21527 5562 6760 24484 14609 24355
28,6551 13424 23127 2233 23835 23056 1393 23020 615 21327
29,5078 5193 14684 13485 25957 8667 23770 16538 5765 17668
30,8544 21552 24621 3835 11384 20496 5717 9243 1863 22511
31,2001 13226 23651 19340 16793 23468 6446 13593 22226 13081
32,1573 18574 9620 7115 290 10640 5671 20087 5966 22010
33,10269 25675 9438 12061 5942 22554 9851 10786 23799 13118
34,1803 1959 19007 377 3966 21624 5446 21677 1700 17808
35,9620 12844 23430 823 12719 7355 9863 13078 24295 11830
36,2426 25407 6734 15691 1583 16928 23133 8886 22848 16906
37,19480 10528 19524 24075 14163 10009 3647 1639 8439 24748
38,1863 12061 8560 21552 25846 4940 6088 13628 21062 25675
39,7321 2178 2220 23816 20820 16871 6139 5497 21872 16648
40,24075 25407 22554 5044 8097 9438 15691 16630 20146 19089
41,17322 6599 19674 11453 20079 3417 1682 24422 9047 14023
42,20553 6612 13870 24070 16630 12182 1020 18930 20321 11533
43,15536 1184 170 7615 23854 12770 20040 12696 13680 552
44,17470 5093 8475 23324 25209 16473 11576 1205 25185 9438
45,19089 7494 11658 17723 19525 16630 2665 21049 25873 8431
46,23536 4620 13541 3983 9029 6088 15459 22359 11792 22356
47,4032 21912 19326 16124 19281 18852 4738 6369 7993 12230
48,4781 13552 16893 24985 13178 5284 14867 303 14484 14684
49,12585 25253 18549 5787 4302 24940 13970 24141 9646 13409
50,2426 9555 10594 1583 10834 6734 12818 7991 23141 17156
51,24075 25675 4957 1516 7964 22554 7494 942 11900 10845
52,13194 20199 14767 8268 25009 24355 4502 11449 5609 20553
53,11115 17874 18499 8529 17697 11969 4147 17627 20497 23761
54,25675 3803 7202 19401 18293 22554 9438 19564 15564 24075
55,15562 3058 9243 4064 10910 16218 10601 2122 4809 17801
56,3668 11741 11987 5413 10384 12742 5759 6267 21717 17079
57,25656 11378 24791 2436 6049 2390 75 18076 18026 1412
58,5930 16577 11197 306 10524 625 12601 1259 6047 12943
59,11223 8531 8841 9005 6544 23950 10803 19668 2846 21793
60,3527 13810 16843 6096 2237 175 762 12483 8002 12454
61,6446 8826 24747 14378 9782 9090 24948 4390 18499 7115
62,10311 11527 16394 19150 24378 8675 12759 12914 23895 7350
63,13231 13424 3456 21051 8654 5905 7940 14488 13502 13789
64,23741 20458 17723 388 24300 2427 5810 21106 6865 15350
65,16850 19525 25013 8081 2182 25255 22140 18959 3840 14951
66,24075 19089 10269 2533 19480 12061 8431 7494 9851 7650
67,4203 9615 9822 17668 18574 5966 91 18462 19796 22057
68,18190 6088 2333 3983 16805 6588 11792 23711 11524 9337
69,25932 2317 7583 15124 1005 10919 7371 13025 16993 23774
70,4390 22121 10162 8990 14356 25407 3812 10653 4588 12254
71,17565 11064 14684 24070 5094 17400 17668 1621 24568 14943
72,1863 2996 22645 24075 21552 24340 19094 4940 1960 8920
73,18419 4502 16394 15915 5185 4209 25586 4855 17828 11253
74,1608 22172 14104 16481 7152 23624 9520 8152 9630 25500
75,20108 11072 8251 11730 22413 13797 19910 9339 13555 19480
76,17877 3396 15196 15903 6146 16577 25585 17070 8249 9701
77,24075 25387 20083 471 7117 4272 15377 21108 8610 4046
78,20431 15327 2868 19114 6088 5717 18190 10530 15459 25030
79,10269 25675 9438 12061 5942 9851 22554 10786 23799 13118
80,21652 21517 1001 1449 11064 4257 11863 13052 11764 4675
81,24075 22554 25068 12061 6254 10786 9851 17192 19393 20532
82,24075 22524 10785 8311 23427 19502 20023 21092 24472 7471
83,2426 9555 23154 10594 10834 1583 16928 17156 23141 13711
84,141 20496 24410 21552 22511 10191 18150 4209 20148 7639
85,11533 3580 23774 5952 25596 8984 20863 2478 3737 4878
86,6446 8955 11951 16779 15161 7564 12601 4588 19498 8249
87,6446 2001 2888 23468 21021 18798 8249 23651 1303 16577
88,9851 9438 10269 8811 22554 21854 13363 16268 16321 2468
89,11785 21236 8070 3701 9782 22716 13892 13979 13514 7686
90,4620 1863 19089 18190 921 3337 19049 19480 9851 2665
91,4824 25044 3382 16248 11848 7229 14129 16758 21871 19078
92,19480 12409 20146 16630 7494 2665 17723 19709 23481 8894
93,10269 25675 9438 12061 19152 9851 22554 10786 5942 25407
94,13030 23127 14373 11792 24561 6876 3804 3983 3599 22483
95,14413 9526 8593 11339 5447 19291 21264 2216 2281 1150
96,19891 2995 8529 5218 23331 19526 19626 19468 3812 6698
97,4502 19874 24355 12554 18419 20308 20553 10418 17668 5581
98,19874 24355 4502 17668 20308 4257 10418 15234 5581 19879
99,18512 4257 7839 20308 25209 14684 5283 9135 11623 6718
100,24481 24355 1409 4766 1552 6002 20290 1258 6760 18886
101,22554 25675 25407 2426 16772 19468 8097 20325 5044 16577
102,7202 25735 15842 10956 2711 14096 9562 19596 22484 13057
103,19781 867 5717 19704 8544 17065 3348 3668 11067 11796
104,19874 14684 24355 19089 19480 19709 22653 20308 10581 13118
105,22750 22554 7202 25675 23485 17858 15790 18293 3803 942
106,23299 22356 17707 4254 23711 275 9851 8811 3037 25869
107,1863 4940 7266 8560 21552 22645 18122 20711 9438 8786
108,18544 22121 24747 3539 9438 14356 19089 23189 173 25101
109,484 7363 10162 13226 7049 2679 4664 970 20688 5044
110,15196 5150 17546 15234 9511 15642 17517 17218 19973 12142
111,1205 24546 24438 5589 19007 6 24545 2237 2005 19563
112,10269 18679 5292 23474 17418 13414 14330 16268 7683 14568
113,23723 16987 15563 10328 5574 9241 13424 24655 1928 3550
114,14100 7455 11260 9125 25880 23033 20499 6082 3442 2426
115,24075 22554 13615 9438 19792 13831 25779 10786 12923 25260
116,11820 15364 15196 5044 6297 20146 14356 24577 15903 9152
117,17803 2017 25863 3073 2259 1250 3949 1392 18570 8773
118,23086 11527 10311 12162 18334 24378 1151 19150 12759 16246
119,4502 19874 15234 6952 18419 14104 3562 18541 19911 20308
120,18987 1258 24481 24355 9934 3556 10996 4502 19281 15562
121,25675 24075 11951 11822 12851 18340 311 22554 21014 24549
122,16203 9175 15739 23802 5950 16257 22024 14626 22969 19874
123,25407 21061 4147 8337 681 1869 7260 13887 2426 13294
124,22646 2090 20472 2868 9315 2333 23536 23711 13918 14373
125,6502 17668 4257 7753 828 16538 23221 20964 25484 25
126,19434 7552 3024 17931 21039 14951 14437 22140 2581 4156
127,10085 18211 16570 132 22881 677 5256 17576 1496 14173
128,9851 10269 1863 10786 9438 25675 15034 8560 7266 13118
129,14045 861 18708 1181 15270 16536 23311 25693 604 10994
130,24546 9463 4805 25766 3527 25526 5700 2237 8805 20857
131,5713 24585 22890 15723 4707 10507 19804 24471 3916 18868
132,8712 9008 21927 16187 341 9657 12597 11701 8863 6291
133,11536 21631 23155 6770 14571 6194 22864 1217 18527 22862
134,3497 22121 21042 25407 13294 16577 22731 10730 7271 14328
135,16447 4302 25440 24746 23333 24141 24940 13970 72 9529
136,13433 11550 24909 19480 17236 18288 19709 8660 18265 24546
137,16726 3579 20963 23405 13373 15733 4184 7053 2798 12381
138,15592 21095 14343 25028 22754 4796 11432 18790 15200 999
139,4463 10391 22102 21064 9347 7012 18837 2491 6157 17800
140,13433 12887 21153 7124 20013 9940 15076 6 14654 8733
141,5078 17637 11083 21857 14684 20308 5284 2304 14386 11700
142,9851 19480 20146 25675 23600 10269 13118 16630 16241 20095
143,14889 2939 16577 177 11584 1478 24891 12134 4023 15118
144,19089 7494 12409 20146 17723 19709 16630 2665 19480 24128
145,9591 22845 4100 18122 9345 25675 18119 364 23319 22554
146,24075 25675 5942 22554 12061 10786 13118 19089 8538 15564
147,3497 5930 14141 588 19769 5469 21061 16880 20422 1064
148,23154 25407 2426 7333 10594 13381 5607 9322 18636 9017
149,12061 21552 12734 10786 5119 21653 24227 20290 10269 25675
150,17723 19089 23600 20095 20146 7494 16630 19709 24128 18317
151,19480 19089 11687 14978 23481 525 10979 8158 5522 11284
152,12214 14481 2061 21619 3261 9539 130 9705 8828 18263
153,15182 16263 18412 9195 13609 20210 24075 15783 5919 427
154,17320 19961 9194 9859 24660 24098 1225 9963 7728 9145
155,13014 12365 24075 5717 13118 23457 4620 20011 6662 12056
156,25407 15691 2492 18452 10594 1583 3230 9555 17156 16928
157,24687 18317 11499 22121 10537 9475 11701 21260 7585 6076
158,15196 5150 3261 17517 17546 15234 9511 1175 18367 2388
159,22151 23844 20919 3133 16345 16871 7030 13954 15119 23648
160,6047 12601 3913 4871 11354 10951 21355 22731 306 20969
161,3827 16978 17488 414 14755 15446 19957 20779 8026 8577
162,22128 18293 3473 22750 21552 12875 15915 25046 21342 20363
163,5907 11832 14684 4502 15982 19970 2184 18419 20366 25197
164,25407 17819 14706 20146 11535 8322 15691 5044 4549 19089
165,11072 21552 5717 8524 12061 8704 7639 141 12231 24621
166,17179 20167 5717 12273 11792 14978 7639 5256 525 11159
167,6878 2426 17209 13136 25407 10834 13711 22848 4980 11340
168,3030 18138 24025 15597 25272 22092 12957 4434 25418 23364
169,25407 15691 7494 2426 23154 19089 1583 10834 10594 5044
170,5952 20863 17951 4366 22801 16402 13663 24750 11533 2761
171,25675 4512 24075 23424 22554 12923 7202 19401 9851 10786
172,19781 22830 2344 10514 21975 9243 14676 17448 17065 16992
173,17209 13711 9733 25407 2426 5669 13136 12050 9322 18452
174,25407 13294 13928 7494 6973 22010 10594 19480 18392 2426
175,5756 20626 8430 7632 2507 23530 16667 25517 25957 13863
176,21854 12061 5717 23127 9315 4620 9284 22359 18545 2333
177,25407 10594 6734 17143 19655 21920 1583 9555 6327 22187
178,22657 8251 7639 2759 15490 23481 6599 8704 20290 4620
179,8304 24484 16218 15764 16954 20894 22402 7665 16197 6500
180,18987 14876 2579 10865 23832 2597 5467 13025 4787 24255
181,19480 8251 13797 10269 9591 19709 14895 19089 4927 22617
182,15903 17517 5150 19973 22075 3261 18367 8427 12223 17546
183,23600 19709 17723 23481 6198 12409 11730 11091 5522 17760
184,15749 16394 7823 14684 4502 9683 10073 20308 15234 10491
185,5250 14018 653 7607 5673 3185 6363 21255 25204 14084
186,736 7553 5289 3264 16394 16587 11148 1345 11812 2105
187,10747 19518 23879 2825 7243 1254 8432 8106 21139 18515
188,9017 23895 11823 10747 17877 11748 1095 17451 17247 6454
189,25407 16772 8097 5044 15691 10834 2426 9555 17229 23141
190,23154 25407 6734 9555 10594 25171 10834 8316 5 5108
191,13690 6897 18806 1026 22508 8691 13202 25953 14597 1040
192,24093 15764 8304 17820 5412 24109 4803 57 3997 18122
193,3656 484 11848 24243 18404 3921 14356 23468 17013 3812
194,18259 11367 13348 24566 1538 6686 24075 24753 11426 9456
195,10020 6145 16703 1092 21011 18503 23051 399 23648 9811
196,24383 19985 681 3744 10917 7086 4147 3497 6076 22564
197,22075 6960 18758 18149 17586 17315 8427 5272 6909 16266
198,22646 6088 4324 2090 9591 2868 3983 1834 18190 23536
199,8249 6446 22121 11121 15013 8990 14684 15234 24069 9041
200,7494 19089 17723 23244 8894 19525 13415 21049 20146 1432
201,20146 19089 19480 24355 1634 17760 12119 4257 2996 3983
202,4341 24586 868 17407 6264 10175 25575 14172 8902 8517
203,24444 13686 8987 4289 3968 14253 22277 11305 4444 14406
204,12061 9851 24075 25675 9591 9438 8560 1863 22554 11384
205,23536 2333 18190 5717 21854 6088 11792 15459 23711 18872
206,4620 921 24075 19120 23358 8251 7885 11363 23666 13352
207,6239 23628 6760 25740 8158 4766 8145 14609 15006 19480
208,19908 20083 6865 5491 4195 13415 10784 4487 11869 471
209,19874 4502 24355 18419 17668 10418 4257 20553 15234 15754
210,17908 25034 2798 7016 20915 12093 9500 9636 12953 8392
211,6380 7836 9934 12906 12236 25779 5154 19217 11899 14100
212,19089 4728 2448 7720 16630 17723 12409 153 9637 21437
213,17525 4987 6250 18463 21085 8395 11876 8538 1050 16862
214,24075 10269 5942 9438 773 25675 23799 17723 22554 15564
215,7709 8676 15925 1479 8667 25663 23280 21947 22500 5882
216,18644 19504 6510 5763 7012 23398 2995 2715 16353 12700
217,3348 562 16966 16901 9282 3469 9797 25643 5759 11792
218,5150 17546 15196 15234 21493 11334 19010 10766 9511 17517
219,8709 18793 497 9769 9662 13424 15559 9716 13609 12048
220,24075 9438 22554 10269 12061 18293 9851 10786 15564 12923
221,19826 11459 22332 53 5467 6464 7939 20191 8064 25711
222,14684 4502 20308 5581 18419 10418 7883 17668 4257 6612
223,9003 7639 13562 19480 11076 19709 19346 364 17814 17593
224,2485 19340 3788 2679 15795 15645 23298 2001 22949 23468
225,25407 16772 8990 18117 9555 24143 1436 4878 16431 14362
226,769 23506 14585 21483 22717 8193 13019 17110 4492 2590
227,8823 15124 19631 9008 9260 2412 2854 22927 15633 20033
228,2854 19631 8097 16365 12630 2426 4203 21973 24577 20191
229,20613 20637 17248 10188 891 8079 14374 21169 9398 4384
230,6097 711 7946 3753 7069 12759 9370 21936 22798 21373
231,24075 22554 9438 10786 18293 9851 12061 19089 5942 5522
232,11792 1457 4684 13030 3835 3747 10786 19180 25335 18872
233,9859 195 10569 5862 21024 14666 13625 24875 25938 3577
234,16577 11197 306 5930 12601 11354 12943 625 10951 22731
235,21042 22731 16577 16942 14328 12936 10951 3913 23659 25416
236,6088 2185 14418 9591 14383 9386 22646 14895 9851 15459
237,14838 8959 91 11896 21473 24327 4203 214 5473 6734
