
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 330, 'shrink': 271, 'similarity': 'dice', 'normalize': True, 'icm_weight': 4.722355313986181} - results: ROC_AUC: 0.1366375, PRECISION: 0.0282727, PRECISION_RECALL_MIN_DEN: 0.1059296, RECALL: 0.1032870, MAP: 0.0458321, MRR: 0.0965684, NDCG: 0.0711906, F1: 0.0443921, HIT_RATE: 0.2827271, ARHR: 0.1082332, NOVELTY: 0.0048731, AVERAGE_POPULARITY: 0.0607856, DIVERSITY_MEAN_INTER_LIST: 0.9936848, DIVERSITY_HERFINDAHL: 0.9993497, COVERAGE_ITEM: 0.4844042, COVERAGE_ITEM_CORRECT: 0.0388450, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1477790, DIVERSITY_GINI: 0.1968178, SHANNON_ENTROPY: 12.3253581, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'topK': 415, 'shrink': 696, 'similarity': 'dice', 'normalize': True, 'icm_weight': 10.306377509634913} - results: ROC_AUC: 0.1375722, PRECISION: 0.0282616, PRECISION_RECALL_MIN_DEN: 0.1061639, RECALL: 0.1035239, MAP: 0.0461602, MRR: 0.0971520, NDCG: 0.0715361, F1: 0.0444011, HIT_RATE: 0.2826163, ARHR: 0.1088199, NOVELTY: 0.0048448, AVERAGE_POPULARITY: 0.0685304, DIVERSITY_MEAN_INTER_LIST: 0.9920467, DIVERSITY_HERFINDAHL: 0.9991859, COVERAGE_ITEM: 0.4689894, COVERAGE_ITEM_CORRECT: 0.0372666, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1478294, DIVERSITY_GINI: 0.1817958, SHANNON_ENTROPY: 12.1401894, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 999, 'shrink': 745, 'similarity': 'dice', 'normalize': True, 'icm_weight': 5.891153816189769} - results: ROC_AUC: 0.1340994, PRECISION: 0.0274692, PRECISION_RECALL_MIN_DEN: 0.1042827, RECALL: 0.1018169, MAP: 0.0451948, MRR: 0.0947290, NDCG: 0.0701092, F1: 0.0432649, HIT_RATE: 0.2746922, ARHR: 0.1056395, NOVELTY: 0.0048475, AVERAGE_POPULARITY: 0.0689080, DIVERSITY_MEAN_INTER_LIST: 0.9915158, DIVERSITY_HERFINDAHL: 0.9991328, COVERAGE_ITEM: 0.4447661, COVERAGE_ITEM_CORRECT: 0.0359115, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1447590, DIVERSITY_GINI: 0.1648207, SHANNON_ENTROPY: 11.9951737, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 678, 'shrink': 478, 'similarity': 'dice', 'normalize': False, 'icm_weight': 5.637962162869695} - results: ROC_AUC: 0.1357484, PRECISION: 0.0280334, PRECISION_RECALL_MIN_DEN: 0.1063719, RECALL: 0.1038020, MAP: 0.0455996, MRR: 0.0955854, NDCG: 0.0709887, F1: 0.0441437, HIT_RATE: 0.2803341, ARHR: 0.1069818, NOVELTY: 0.0048597, AVERAGE_POPULARITY: 0.0658191, DIVERSITY_MEAN_INTER_LIST: 0.9924371, DIVERSITY_HERFINDAHL: 0.9992249, COVERAGE_ITEM: 0.4569317, COVERAGE_ITEM_CORRECT: 0.0373821, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1471750, DIVERSITY_GINI: 0.1749177, SHANNON_ENTROPY: 12.1154106, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 362, 'shrink': 585, 'similarity': 'dice', 'normalize': False, 'icm_weight': 5.533905661723354} - results: ROC_AUC: 0.1370452, PRECISION: 0.0283530, PRECISION_RECALL_MIN_DEN: 0.1061798, RECALL: 0.1035239, MAP: 0.0459588, MRR: 0.0968224, NDCG: 0.0713751, F1: 0.0445136, HIT_RATE: 0.2835299, ARHR: 0.1085624, NOVELTY: 0.0048469, AVERAGE_POPULARITY: 0.0674101, DIVERSITY_MEAN_INTER_LIST: 0.9923348, DIVERSITY_HERFINDAHL: 0.9992147, COVERAGE_ITEM: 0.4731242, COVERAGE_ITEM_CORRECT: 0.0376131, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1482069, DIVERSITY_GINI: 0.1854763, SHANNON_ENTROPY: 12.1786134, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'topK': 170, 'shrink': 634, 'similarity': 'dice', 'normalize': True, 'icm_weight': 15.633106804073257} - results: ROC_AUC: 0.1402835, PRECISION: 0.0288064, PRECISION_RECALL_MIN_DEN: 0.1071952, RECALL: 0.1044411, MAP: 0.0467962, MRR: 0.0990067, NDCG: 0.0724537, F1: 0.0451565, HIT_RATE: 0.2880638, ARHR: 0.1114743, NOVELTY: 0.0048417, AVERAGE_POPULARITY: 0.0679605, DIVERSITY_MEAN_INTER_LIST: 0.9924643, DIVERSITY_HERFINDAHL: 0.9992276, COVERAGE_ITEM: 0.4962233, COVERAGE_ITEM_CORRECT: 0.0389451, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1500944, DIVERSITY_GINI: 0.2011904, SHANNON_ENTROPY: 12.2766347, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 220, 'shrink': 663, 'similarity': 'dice', 'normalize': True, 'icm_weight': 2.102437044387356} - results: ROC_AUC: 0.1389933, PRECISION: 0.0285418, PRECISION_RECALL_MIN_DEN: 0.1067099, RECALL: 0.1039844, MAP: 0.0462891, MRR: 0.0981738, NDCG: 0.0718920, F1: 0.0447891, HIT_RATE: 0.2854184, ARHR: 0.1101564, NOVELTY: 0.0048421, AVERAGE_POPULARITY: 0.0683409, DIVERSITY_MEAN_INTER_LIST: 0.9923059, DIVERSITY_HERFINDAHL: 0.9992118, COVERAGE_ITEM: 0.4878075, COVERAGE_ITEM_CORRECT: 0.0381136, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1490122, DIVERSITY_GINI: 0.1954968, SHANNON_ENTROPY: 12.2378580, 

SearchBayesianSkopt-CV: New best config found. Config 7: {'topK': 175, 'shrink': 733, 'similarity': 'dice', 'normalize': True, 'icm_weight': 2.4699316114107077} - results: ROC_AUC: 0.1404560, PRECISION: 0.0288522, PRECISION_RECALL_MIN_DEN: 0.1074658, RECALL: 0.1047125, MAP: 0.0468140, MRR: 0.0990611, NDCG: 0.0725504, F1: 0.0452378, HIT_RATE: 0.2885218, ARHR: 0.1114355, NOVELTY: 0.0048395, AVERAGE_POPULARITY: 0.0687989, DIVERSITY_MEAN_INTER_LIST: 0.9922782, DIVERSITY_HERFINDAHL: 0.9992090, COVERAGE_ITEM: 0.4948527, COVERAGE_ITEM_CORRECT: 0.0389374, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1505725, DIVERSITY_GINI: 0.1999249, SHANNON_ENTROPY: 12.2597401, 
