
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 689, 'shrink': 615, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.13348339077939622, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1629567, PRECISION: 0.0335081, PRECISION_RECALL_MIN_DEN: 0.1215100, RECALL: 0.1180012, MAP: 0.0572204, MRR: 0.1209095, NDCG: 0.0856336, F1: 0.0521933, HIT_RATE: 0.3350806, ARHR: 0.1379518, NOVELTY: 0.0046495, AVERAGE_POPULARITY: 0.1383965, DIVERSITY_MEAN_INTER_LIST: 0.9714592, DIVERSITY_HERFINDAHL: 0.9971288, COVERAGE_ITEM: 0.3743600, COVERAGE_ITEM_CORRECT: 0.0362271, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1806720, DIVERSITY_GINI: 0.0990093, SHANNON_ENTROPY: 10.7238208, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'topK': 780, 'shrink': 16, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.113831708659814, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0508562, PRECISION: 0.0116984, PRECISION_RECALL_MIN_DEN: 0.0460552, RECALL: 0.0452007, MAP: 0.0180829, MRR: 0.0354267, NDCG: 0.0288458, F1: 0.0185854, HIT_RATE: 0.1169841, ARHR: 0.0402869, NOVELTY: 0.0056620, AVERAGE_POPULARITY: 0.0059205, DIVERSITY_MEAN_INTER_LIST: 0.9878329, DIVERSITY_HERFINDAHL: 0.9987658, COVERAGE_ITEM: 0.3180135, COVERAGE_ITEM_CORRECT: 0.0243157, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0652322, DIVERSITY_GINI: 0.0887763, SHANNON_ENTROPY: 11.1542316, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 128, 'shrink': 772, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.3772390605123717, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1432782, PRECISION: 0.0316788, PRECISION_RECALL_MIN_DEN: 0.1128921, RECALL: 0.1093406, MAP: 0.0500492, MRR: 0.1036460, NDCG: 0.0762718, F1: 0.0491241, HIT_RATE: 0.3167877, ARHR: 0.1194504, NOVELTY: 0.0051916, AVERAGE_POPULARITY: 0.0368993, DIVERSITY_MEAN_INTER_LIST: 0.9953975, DIVERSITY_HERFINDAHL: 0.9995222, COVERAGE_ITEM: 0.5744370, COVERAGE_ITEM_CORRECT: 0.0543600, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1683654, DIVERSITY_GINI: 0.2432870, SHANNON_ENTROPY: 12.6680162, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 773, 'shrink': 90, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.3848600519317618, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0746717, PRECISION: 0.0161360, PRECISION_RECALL_MIN_DEN: 0.0604024, RECALL: 0.0587981, MAP: 0.0253864, MRR: 0.0516561, NDCG: 0.0394420, F1: 0.0253221, HIT_RATE: 0.1613599, ARHR: 0.0585411, NOVELTY: 0.0055570, AVERAGE_POPULARITY: 0.0115167, DIVERSITY_MEAN_INTER_LIST: 0.9956006, DIVERSITY_HERFINDAHL: 0.9995425, COVERAGE_ITEM: 0.4306833, COVERAGE_ITEM_CORRECT: 0.0326006, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0901724, DIVERSITY_GINI: 0.1658941, SHANNON_ENTROPY: 12.2766043, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 572, 'shrink': 44, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.3100825220277843, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1448411, PRECISION: 0.0304936, PRECISION_RECALL_MIN_DEN: 0.1095386, RECALL: 0.1062752, MAP: 0.0500934, MRR: 0.1057045, NDCG: 0.0758051, F1: 0.0473890, HIT_RATE: 0.3049359, ARHR: 0.1204197, NOVELTY: 0.0050340, AVERAGE_POPULARITY: 0.0574074, DIVERSITY_MEAN_INTER_LIST: 0.9934549, DIVERSITY_HERFINDAHL: 0.9993279, COVERAGE_ITEM: 0.4840038, COVERAGE_ITEM_CORRECT: 0.0450125, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1650686, DIVERSITY_GINI: 0.1741875, SHANNON_ENTROPY: 12.1289334, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 928, 'shrink': 433, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.1237264372436067, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1564113, PRECISION: 0.0342254, PRECISION_RECALL_MIN_DEN: 0.1192812, RECALL: 0.1156784, MAP: 0.0546215, MRR: 0.1145347, NDCG: 0.0828392, F1: 0.0528213, HIT_RATE: 0.3422543, ARHR: 0.1323937, NOVELTY: 0.0053299, AVERAGE_POPULARITY: 0.0311845, DIVERSITY_MEAN_INTER_LIST: 0.9980261, DIVERSITY_HERFINDAHL: 0.9997850, COVERAGE_ITEM: 0.6261790, COVERAGE_ITEM_CORRECT: 0.0572782, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1801435, DIVERSITY_GINI: 0.3061177, SHANNON_ENTROPY: 13.1973966, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 221, 'shrink': 866, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.16681821637231645, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1610116, PRECISION: 0.0355543, PRECISION_RECALL_MIN_DEN: 0.1234078, RECALL: 0.1194153, MAP: 0.0571653, MRR: 0.1189949, NDCG: 0.0859111, F1: 0.0547930, HIT_RATE: 0.3555430, ARHR: 0.1384984, NOVELTY: 0.0053211, AVERAGE_POPULARITY: 0.0288933, DIVERSITY_MEAN_INTER_LIST: 0.9982584, DIVERSITY_HERFINDAHL: 0.9998082, COVERAGE_ITEM: 0.6497709, COVERAGE_ITEM_CORRECT: 0.0612435, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1843211, DIVERSITY_GINI: 0.3280587, SHANNON_ENTROPY: 13.3060173, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 830, 'shrink': 500, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.9668995275098593, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1583438, PRECISION: 0.0346042, PRECISION_RECALL_MIN_DEN: 0.1212075, RECALL: 0.1175634, MAP: 0.0556530, MRR: 0.1162062, NDCG: 0.0841630, F1: 0.0534679, HIT_RATE: 0.3460422, ARHR: 0.1344400, NOVELTY: 0.0053221, AVERAGE_POPULARITY: 0.0308362, DIVERSITY_MEAN_INTER_LIST: 0.9980913, DIVERSITY_HERFINDAHL: 0.9997915, COVERAGE_ITEM: 0.6331319, COVERAGE_ITEM_CORRECT: 0.0582252, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1817793, DIVERSITY_GINI: 0.3120517, SHANNON_ENTROPY: 13.2267537, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 320, 'shrink': 110, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.5060836551469433, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1568998, PRECISION: 0.0345027, PRECISION_RECALL_MIN_DEN: 0.1203729, RECALL: 0.1166543, MAP: 0.0550964, MRR: 0.1145850, NDCG: 0.0833435, F1: 0.0532527, HIT_RATE: 0.3450272, ARHR: 0.1330341, NOVELTY: 0.0053330, AVERAGE_POPULARITY: 0.0316912, DIVERSITY_MEAN_INTER_LIST: 0.9980408, DIVERSITY_HERFINDAHL: 0.9997864, COVERAGE_ITEM: 0.6374822, COVERAGE_ITEM_CORRECT: 0.0577863, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1797408, DIVERSITY_GINI: 0.3155131, SHANNON_ENTROPY: 13.2362324, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 430, 'shrink': 119, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.486960469909068, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0810343, PRECISION: 0.0175848, PRECISION_RECALL_MIN_DEN: 0.0645767, RECALL: 0.0627316, MAP: 0.0274072, MRR: 0.0563923, NDCG: 0.0424709, F1: 0.0274688, HIT_RATE: 0.1758480, ARHR: 0.0641008, NOVELTY: 0.0055016, AVERAGE_POPULARITY: 0.0136773, DIVERSITY_MEAN_INTER_LIST: 0.9957339, DIVERSITY_HERFINDAHL: 0.9995558, COVERAGE_ITEM: 0.4591338, COVERAGE_ITEM_CORRECT: 0.0352262, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0975462, DIVERSITY_GINI: 0.1849065, SHANNON_ENTROPY: 12.4162339, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 602, 'shrink': 854, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.3857373667669382, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1455139, PRECISION: 0.0319480, PRECISION_RECALL_MIN_DEN: 0.1154756, RECALL: 0.1120279, MAP: 0.0510080, MRR: 0.1051096, NDCG: 0.0778218, F1: 0.0497166, HIT_RATE: 0.3194802, ARHR: 0.1207582, NOVELTY: 0.0051689, AVERAGE_POPULARITY: 0.0386260, DIVERSITY_MEAN_INTER_LIST: 0.9952484, DIVERSITY_HERFINDAHL: 0.9995073, COVERAGE_ITEM: 0.5599461, COVERAGE_ITEM_CORRECT: 0.0546295, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1706304, DIVERSITY_GINI: 0.2306809, SHANNON_ENTROPY: 12.5894439, 
