
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 915, 'shrink': 185, 'similarity': 'tversky', 'normalize': True, 'icm_weight': 0.2507839301467985, 'tversky_alpha': 0.4785127351927797, 'tversky_beta': 0.2751103599846921} - results: ROC_AUC: 0.1447341, PRECISION: 0.0293664, PRECISION_RECALL_MIN_DEN: 0.1130326, RECALL: 0.1105670, MAP: 0.0494780, MRR: 0.1028534, NDCG: 0.0764216, F1: 0.0464058, HIT_RATE: 0.2936644, ARHR: 0.1147177, NOVELTY: 0.0052375, AVERAGE_POPULARITY: 0.1631056, DIVERSITY_MEAN_INTER_LIST: 0.9746400, DIVERSITY_HERFINDAHL: 0.9974455, COVERAGE_ITEM: 0.3833070, COVERAGE_ITEM_CORRECT: 0.0325236, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1551026, DIVERSITY_GINI: 0.1117461, SHANNON_ENTROPY: 10.9336068, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'topK': 388, 'shrink': 836, 'similarity': 'tversky', 'normalize': True, 'icm_weight': 0.8779589615792089, 'tversky_alpha': 1.639955323048221, 'tversky_beta': 0.5397605763843311} - results: ROC_AUC: 0.1466527, PRECISION: 0.0296727, PRECISION_RECALL_MIN_DEN: 0.1123036, RECALL: 0.1097256, MAP: 0.0496688, MRR: 0.1040867, NDCG: 0.0765494, F1: 0.0467114, HIT_RATE: 0.2967266, ARHR: 0.1163666, NOVELTY: 0.0052948, AVERAGE_POPULARITY: 0.1438221, DIVERSITY_MEAN_INTER_LIST: 0.9829685, DIVERSITY_HERFINDAHL: 0.9982782, COVERAGE_ITEM: 0.4262560, COVERAGE_ITEM_CORRECT: 0.0343561, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1558072, DIVERSITY_GINI: 0.1381832, SHANNON_ENTROPY: 11.3911538, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'topK': 582, 'shrink': 14, 'similarity': 'tversky', 'normalize': True, 'icm_weight': 0.16210524654397032, 'tversky_alpha': 0.6342870243976481, 'tversky_beta': 1.4919778836064794} - results: ROC_AUC: 0.1506672, PRECISION: 0.0302416, PRECISION_RECALL_MIN_DEN: 0.1164574, RECALL: 0.1139596, MAP: 0.0517614, MRR: 0.1071708, NDCG: 0.0794062, F1: 0.0477965, HIT_RATE: 0.3024157, ARHR: 0.1199254, NOVELTY: 0.0052684, AVERAGE_POPULARITY: 0.1539031, DIVERSITY_MEAN_INTER_LIST: 0.9770911, DIVERSITY_HERFINDAHL: 0.9976906, COVERAGE_ITEM: 0.4266872, COVERAGE_ITEM_CORRECT: 0.0344639, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1589027, DIVERSITY_GINI: 0.1310867, SHANNON_ENTROPY: 11.1302370, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 512, 'shrink': 533, 'similarity': 'tversky', 'normalize': True, 'icm_weight': 0.5436733026182444, 'tversky_alpha': 1.9107054081764872, 'tversky_beta': 1.5028865384233954} - results: ROC_AUC: 0.1474660, PRECISION: 0.0300026, PRECISION_RECALL_MIN_DEN: 0.1144500, RECALL: 0.1118821, MAP: 0.0505569, MRR: 0.1052194, NDCG: 0.0778267, F1: 0.0473151, HIT_RATE: 0.3000259, ARHR: 0.1177410, NOVELTY: 0.0052706, AVERAGE_POPULARITY: 0.1516578, DIVERSITY_MEAN_INTER_LIST: 0.9794900, DIVERSITY_HERFINDAHL: 0.9979304, COVERAGE_ITEM: 0.4097093, COVERAGE_ITEM_CORRECT: 0.0342021, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1575186, DIVERSITY_GINI: 0.1266469, SHANNON_ENTROPY: 11.1861225, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 618, 'shrink': 527, 'similarity': 'tversky', 'normalize': True, 'icm_weight': 0.8687615499024793, 'tversky_alpha': 1.8265593860494618, 'tversky_beta': 1.4372030477784756} - results: ROC_AUC: 0.1468128, PRECISION: 0.0297487, PRECISION_RECALL_MIN_DEN: 0.1141111, RECALL: 0.1115638, MAP: 0.0502724, MRR: 0.1047609, NDCG: 0.0774570, F1: 0.0469705, HIT_RATE: 0.2974872, ARHR: 0.1171264, NOVELTY: 0.0052593, AVERAGE_POPULARITY: 0.1555144, DIVERSITY_MEAN_INTER_LIST: 0.9778037, DIVERSITY_HERFINDAHL: 0.9977618, COVERAGE_ITEM: 0.4007238, COVERAGE_ITEM_CORRECT: 0.0336015, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1564112, DIVERSITY_GINI: 0.1214903, SHANNON_ENTROPY: 11.0973157, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 453, 'shrink': 626, 'similarity': 'tversky', 'normalize': True, 'icm_weight': 0.2390947356006306, 'tversky_alpha': 0.8350398496382521, 'tversky_beta': 0.1873512457149862} - results: ROC_AUC: 0.1459097, PRECISION: 0.0296462, PRECISION_RECALL_MIN_DEN: 0.1128885, RECALL: 0.1103136, MAP: 0.0496796, MRR: 0.1036480, NDCG: 0.0766143, F1: 0.0467319, HIT_RATE: 0.2964615, ARHR: 0.1157873, NOVELTY: 0.0052833, AVERAGE_POPULARITY: 0.1476658, DIVERSITY_MEAN_INTER_LIST: 0.9816577, DIVERSITY_HERFINDAHL: 0.9981472, COVERAGE_ITEM: 0.4163388, COVERAGE_ITEM_CORRECT: 0.0340558, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1560337, DIVERSITY_GINI: 0.1322850, SHANNON_ENTROPY: 11.3070391, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 818, 'shrink': 990, 'similarity': 'tversky', 'normalize': True, 'icm_weight': 0.6039579028242729, 'tversky_alpha': 1.3081357552612658, 'tversky_beta': 0.09330178818763192} - results: ROC_AUC: 0.1436985, PRECISION: 0.0290438, PRECISION_RECALL_MIN_DEN: 0.1114315, RECALL: 0.1089630, MAP: 0.0489047, MRR: 0.1018893, NDCG: 0.0755264, F1: 0.0458614, HIT_RATE: 0.2904384, ARHR: 0.1135616, NOVELTY: 0.0052451, AVERAGE_POPULARITY: 0.1605449, DIVERSITY_MEAN_INTER_LIST: 0.9762871, DIVERSITY_HERFINDAHL: 0.9976102, COVERAGE_ITEM: 0.3857632, COVERAGE_ITEM_CORRECT: 0.0322926, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1530892, DIVERSITY_GINI: 0.1143434, SHANNON_ENTROPY: 11.0053924, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 976, 'shrink': 385, 'similarity': 'tversky', 'normalize': True, 'icm_weight': 0.6423314933146935, 'tversky_alpha': 0.5183327073947527, 'tversky_beta': 0.5085750774375014} - results: ROC_AUC: 0.1426281, PRECISION: 0.0288661, PRECISION_RECALL_MIN_DEN: 0.1112931, RECALL: 0.1088528, MAP: 0.0486919, MRR: 0.1012588, NDCG: 0.0751990, F1: 0.0456303, HIT_RATE: 0.2886614, ARHR: 0.1127194, NOVELTY: 0.0052355, AVERAGE_POPULARITY: 0.1640277, DIVERSITY_MEAN_INTER_LIST: 0.9749258, DIVERSITY_HERFINDAHL: 0.9974741, COVERAGE_ITEM: 0.3775091, COVERAGE_ITEM_CORRECT: 0.0319615, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1525859, DIVERSITY_GINI: 0.1098638, SHANNON_ENTROPY: 10.9312605, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 829, 'shrink': 158, 'similarity': 'tversky', 'normalize': True, 'icm_weight': 0.13825844501452703, 'tversky_alpha': 0.3685579397038821, 'tversky_beta': 0.6153604140298036} - results: ROC_AUC: 0.1446562, PRECISION: 0.0293625, PRECISION_RECALL_MIN_DEN: 0.1130288, RECALL: 0.1105522, MAP: 0.0495227, MRR: 0.1028947, NDCG: 0.0764556, F1: 0.0463994, HIT_RATE: 0.2936248, ARHR: 0.1148106, NOVELTY: 0.0052416, AVERAGE_POPULARITY: 0.1616698, DIVERSITY_MEAN_INTER_LIST: 0.9754380, DIVERSITY_HERFINDAHL: 0.9975253, COVERAGE_ITEM: 0.3858094, COVERAGE_ITEM_CORRECT: 0.0326776, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1546244, DIVERSITY_GINI: 0.1133772, SHANNON_ENTROPY: 10.9688780, 
