
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 695, 'shrink': 681, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.7986923044549219, 'asymmetric_alpha': 1.6776400769314133, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1149219, PRECISION: 0.0254589, PRECISION_RECALL_MIN_DEN: 0.0888115, RECALL: 0.0858270, MAP: 0.0381023, MRR: 0.0821384, NDCG: 0.0594622, F1: 0.0392676, HIT_RATE: 0.2545892, ARHR: 0.0938781, NOVELTY: 0.0056647, AVERAGE_POPULARITY: 0.0643933, DIVERSITY_MEAN_INTER_LIST: 0.9985234, DIVERSITY_HERFINDAHL: 0.9998334, COVERAGE_ITEM: 0.7099134, COVERAGE_ITEM_CORRECT: 0.0456131, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1282497, DIVERSITY_GINI: 0.4199863, SHANNON_ENTROPY: 13.6640623, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'topK': 564, 'shrink': 70, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.18967237124596364, 'asymmetric_alpha': 1.3604981973123147, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1057689, PRECISION: 0.0226249, PRECISION_RECALL_MIN_DEN: 0.0819280, RECALL: 0.0793813, MAP: 0.0348110, MRR: 0.0741319, NDCG: 0.0543848, F1: 0.0352121, HIT_RATE: 0.2262494, ARHR: 0.0836613, NOVELTY: 0.0056283, AVERAGE_POPULARITY: 0.0684936, DIVERSITY_MEAN_INTER_LIST: 0.9984148, DIVERSITY_HERFINDAHL: 0.9998226, COVERAGE_ITEM: 0.6863369, COVERAGE_ITEM_CORRECT: 0.0399846, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1172015, DIVERSITY_GINI: 0.3972001, SHANNON_ENTROPY: 13.5808463, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 114, 'shrink': 294, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.25979153932053917, 'asymmetric_alpha': 0.28220563136129134, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1132516, PRECISION: 0.0241622, PRECISION_RECALL_MIN_DEN: 0.0859568, RECALL: 0.0833959, MAP: 0.0380134, MRR: 0.0811871, NDCG: 0.0586428, F1: 0.0374670, HIT_RATE: 0.2416222, ARHR: 0.0918322, NOVELTY: 0.0057341, AVERAGE_POPULARITY: 0.0576910, DIVERSITY_MEAN_INTER_LIST: 0.9985933, DIVERSITY_HERFINDAHL: 0.9998404, COVERAGE_ITEM: 0.7189220, COVERAGE_ITEM_CORRECT: 0.0449201, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1234680, DIVERSITY_GINI: 0.4289784, SHANNON_ENTROPY: 13.7045564, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'topK': 805, 'shrink': 93, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.215580091148259, 'asymmetric_alpha': 0.5242750387938387, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1402128, PRECISION: 0.0278265, PRECISION_RECALL_MIN_DEN: 0.1065206, RECALL: 0.1041547, MAP: 0.0479220, MRR: 0.0999711, NDCG: 0.0733148, F1: 0.0439158, HIT_RATE: 0.2782648, ARHR: 0.1112810, NOVELTY: 0.0052346, AVERAGE_POPULARITY: 0.1623225, DIVERSITY_MEAN_INTER_LIST: 0.9688479, DIVERSITY_HERFINDAHL: 0.9968664, COVERAGE_ITEM: 0.3741829, COVERAGE_ITEM_CORRECT: 0.0289509, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1474519, DIVERSITY_GINI: 0.1019137, SHANNON_ENTROPY: 10.6799067, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 68, 'shrink': 776, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.3107512225105014, 'asymmetric_alpha': 1.3478761611697943, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1070263, PRECISION: 0.0234875, PRECISION_RECALL_MIN_DEN: 0.0805890, RECALL: 0.0777299, MAP: 0.0355673, MRR: 0.0767686, NDCG: 0.0548855, F1: 0.0360718, HIT_RATE: 0.2348752, ARHR: 0.0879764, NOVELTY: 0.0056993, AVERAGE_POPULARITY: 0.0605268, DIVERSITY_MEAN_INTER_LIST: 0.9983830, DIVERSITY_HERFINDAHL: 0.9998194, COVERAGE_ITEM: 0.7231800, COVERAGE_ITEM_CORRECT: 0.0435342, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1172266, DIVERSITY_GINI: 0.4384809, SHANNON_ENTROPY: 13.7174839, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 955, 'shrink': 294, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.2848386425608688, 'asymmetric_alpha': 1.1237329720595624, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1178651, PRECISION: 0.0256373, PRECISION_RECALL_MIN_DEN: 0.0907765, RECALL: 0.0878718, MAP: 0.0392350, MRR: 0.0838275, NDCG: 0.0610037, F1: 0.0396910, HIT_RATE: 0.2563730, ARHR: 0.0955097, NOVELTY: 0.0056618, AVERAGE_POPULARITY: 0.0648437, DIVERSITY_MEAN_INTER_LIST: 0.9985000, DIVERSITY_HERFINDAHL: 0.9998311, COVERAGE_ITEM: 0.7079654, COVERAGE_ITEM_CORRECT: 0.0454514, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1297345, DIVERSITY_GINI: 0.4166487, SHANNON_ENTROPY: 13.6502019, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 822, 'shrink': 621, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.642079846876058, 'asymmetric_alpha': 0.7358224670180932, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1238958, PRECISION: 0.0271456, PRECISION_RECALL_MIN_DEN: 0.0949111, RECALL: 0.0918882, MAP: 0.0412176, MRR: 0.0881051, NDCG: 0.0640775, F1: 0.0419067, HIT_RATE: 0.2714559, ARHR: 0.1006830, NOVELTY: 0.0056850, AVERAGE_POPULARITY: 0.0628226, DIVERSITY_MEAN_INTER_LIST: 0.9984661, DIVERSITY_HERFINDAHL: 0.9998277, COVERAGE_ITEM: 0.7075727, COVERAGE_ITEM_CORRECT: 0.0481848, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1364792, DIVERSITY_GINI: 0.4104342, SHANNON_ENTROPY: 13.6272637, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 562, 'shrink': 980, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.1176762129705268, 'asymmetric_alpha': 0.920849366573689, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1395508, PRECISION: 0.0277203, PRECISION_RECALL_MIN_DEN: 0.1066626, RECALL: 0.1043523, MAP: 0.0477733, MRR: 0.0992702, NDCG: 0.0731648, F1: 0.0438011, HIT_RATE: 0.2772026, ARHR: 0.1104264, NOVELTY: 0.0052524, AVERAGE_POPULARITY: 0.1561146, DIVERSITY_MEAN_INTER_LIST: 0.9728421, DIVERSITY_HERFINDAHL: 0.9972658, COVERAGE_ITEM: 0.3822907, COVERAGE_ITEM_CORRECT: 0.0291203, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1470492, DIVERSITY_GINI: 0.1073333, SHANNON_ENTROPY: 10.8212993, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 47, 'shrink': 320, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.08720089112173136, 'asymmetric_alpha': 0.6616613861568127, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1295210, PRECISION: 0.0264101, PRECISION_RECALL_MIN_DEN: 0.0942944, RECALL: 0.0916496, MAP: 0.0428939, MRR: 0.0928341, NDCG: 0.0658654, F1: 0.0410032, HIT_RATE: 0.2641014, ARHR: 0.1044261, NOVELTY: 0.0054744, AVERAGE_POPULARITY: 0.0975739, DIVERSITY_MEAN_INTER_LIST: 0.9960168, DIVERSITY_HERFINDAHL: 0.9995828, COVERAGE_ITEM: 0.5699018, COVERAGE_ITEM_CORRECT: 0.0372512, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1366805, DIVERSITY_GINI: 0.2576727, SHANNON_ENTROPY: 12.7805083, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 623, 'shrink': 211, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.6765285071659256, 'asymmetric_alpha': 1.9152601052402178, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1366538, PRECISION: 0.0277027, PRECISION_RECALL_MIN_DEN: 0.1021540, RECALL: 0.0996530, MAP: 0.0455859, MRR: 0.0970577, NDCG: 0.0703606, F1: 0.0433498, HIT_RATE: 0.2770270, ARHR: 0.1087501, NOVELTY: 0.0053685, AVERAGE_POPULARITY: 0.1324712, DIVERSITY_MEAN_INTER_LIST: 0.9861713, DIVERSITY_HERFINDAHL: 0.9985984, COVERAGE_ITEM: 0.5194687, COVERAGE_ITEM_CORRECT: 0.0325236, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1450610, DIVERSITY_GINI: 0.2033513, SHANNON_ENTROPY: 11.9873533, 
