
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 355, 'shrink': 972, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6607515658278277, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0865196, PRECISION: 0.0186191, PRECISION_RECALL_MIN_DEN: 0.0613270, RECALL: 0.0589577, MAP: 0.0272965, MRR: 0.0614428, NDCG: 0.0423313, F1: 0.0282992, HIT_RATE: 0.1861907, ARHR: 0.0698463, NOVELTY: 0.0052843, AVERAGE_POPULARITY: 0.0163940, DIVERSITY_MEAN_INTER_LIST: 0.9982044, DIVERSITY_HERFINDAHL: 0.9998028, COVERAGE_ITEM: 0.6439346, COVERAGE_ITEM_CORRECT: 0.0364966, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1021518, DIVERSITY_GINI: 0.3298219, SHANNON_ENTROPY: 13.3072862, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'topK': 96, 'shrink': 736, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.1186763947921552, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0739537, PRECISION: 0.0152128, PRECISION_RECALL_MIN_DEN: 0.0515627, RECALL: 0.0497512, MAP: 0.0231445, MRR: 0.0519834, NDCG: 0.0359439, F1: 0.0232986, HIT_RATE: 0.1521282, ARHR: 0.0581733, NOVELTY: 0.0052927, AVERAGE_POPULARITY: 0.0146674, DIVERSITY_MEAN_INTER_LIST: 0.9973244, DIVERSITY_HERFINDAHL: 0.9997148, COVERAGE_ITEM: 0.5288855, COVERAGE_ITEM_CORRECT: 0.0298518, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0859695, DIVERSITY_GINI: 0.2507158, SHANNON_ENTROPY: 12.9055928, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'topK': 361, 'shrink': 545, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.6771393492649795, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0929479, PRECISION: 0.0201448, PRECISION_RECALL_MIN_DEN: 0.0693839, RECALL: 0.0669032, MAP: 0.0301765, MRR: 0.0653485, NDCG: 0.0468353, F1: 0.0309650, HIT_RATE: 0.2014481, ARHR: 0.0741974, NOVELTY: 0.0052873, AVERAGE_POPULARITY: 0.0164381, DIVERSITY_MEAN_INTER_LIST: 0.9981136, DIVERSITY_HERFINDAHL: 0.9997937, COVERAGE_ITEM: 0.6332243, COVERAGE_ITEM_CORRECT: 0.0391684, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1109853, DIVERSITY_GINI: 0.3236675, SHANNON_ENTROPY: 13.2781085, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'topK': 396, 'shrink': 434, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.1996493235931685, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0962183, PRECISION: 0.0206437, PRECISION_RECALL_MIN_DEN: 0.0723837, RECALL: 0.0699298, MAP: 0.0310934, MRR: 0.0670260, NDCG: 0.0485248, F1: 0.0318744, HIT_RATE: 0.2064372, ARHR: 0.0759620, NOVELTY: 0.0052913, AVERAGE_POPULARITY: 0.0158757, DIVERSITY_MEAN_INTER_LIST: 0.9979826, DIVERSITY_HERFINDAHL: 0.9997806, COVERAGE_ITEM: 0.5910529, COVERAGE_ITEM_CORRECT: 0.0400077, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1142066, DIVERSITY_GINI: 0.2931916, SHANNON_ENTROPY: 13.1434182, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'topK': 381, 'shrink': 406, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.7652913675886397, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0982449, PRECISION: 0.0211843, PRECISION_RECALL_MIN_DEN: 0.0737717, RECALL: 0.0712240, MAP: 0.0319372, MRR: 0.0686954, NDCG: 0.0496490, F1: 0.0326547, HIT_RATE: 0.2118430, ARHR: 0.0780904, NOVELTY: 0.0052912, AVERAGE_POPULARITY: 0.0163517, DIVERSITY_MEAN_INTER_LIST: 0.9981807, DIVERSITY_HERFINDAHL: 0.9998004, COVERAGE_ITEM: 0.6401001, COVERAGE_ITEM_CORRECT: 0.0412474, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1168743, DIVERSITY_GINI: 0.3293211, SHANNON_ENTROPY: 13.3036208, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 356, 'shrink': 954, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.966880046680397, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0850665, PRECISION: 0.0181347, PRECISION_RECALL_MIN_DEN: 0.0604259, RECALL: 0.0581044, MAP: 0.0267757, MRR: 0.0602144, NDCG: 0.0415307, F1: 0.0276414, HIT_RATE: 0.1813473, ARHR: 0.0683149, NOVELTY: 0.0052884, AVERAGE_POPULARITY: 0.0166142, DIVERSITY_MEAN_INTER_LIST: 0.9981545, DIVERSITY_HERFINDAHL: 0.9997978, COVERAGE_ITEM: 0.6475842, COVERAGE_ITEM_CORRECT: 0.0354649, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0997357, DIVERSITY_GINI: 0.3288782, SHANNON_ENTROPY: 13.2971196, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 72, 'shrink': 447, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.8444276765696275, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0932169, PRECISION: 0.0199127, PRECISION_RECALL_MIN_DEN: 0.0687189, RECALL: 0.0663323, MAP: 0.0306196, MRR: 0.0660626, NDCG: 0.0470807, F1: 0.0306277, HIT_RATE: 0.1991270, ARHR: 0.0749915, NOVELTY: 0.0052861, AVERAGE_POPULARITY: 0.0162601, DIVERSITY_MEAN_INTER_LIST: 0.9981048, DIVERSITY_HERFINDAHL: 0.9997928, COVERAGE_ITEM: 0.6446506, COVERAGE_ITEM_CORRECT: 0.0388604, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1097018, DIVERSITY_GINI: 0.3333813, SHANNON_ENTROPY: 13.3083047, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 521, 'shrink': 632, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9319196691345777, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0770164, PRECISION: 0.0158195, PRECISION_RECALL_MIN_DEN: 0.0541363, RECALL: 0.0522697, MAP: 0.0238968, MRR: 0.0541919, NDCG: 0.0373531, F1: 0.0242852, HIT_RATE: 0.1581954, ARHR: 0.0604094, NOVELTY: 0.0052919, AVERAGE_POPULARITY: 0.0148704, DIVERSITY_MEAN_INTER_LIST: 0.9975293, DIVERSITY_HERFINDAHL: 0.9997353, COVERAGE_ITEM: 0.5200308, COVERAGE_ITEM_CORRECT: 0.0308065, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0901976, DIVERSITY_GINI: 0.2439270, SHANNON_ENTROPY: 12.8864374, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 901, 'shrink': 154, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.3568620349685439, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0757965, PRECISION: 0.0155762, PRECISION_RECALL_MIN_DEN: 0.0534692, RECALL: 0.0516707, MAP: 0.0234106, MRR: 0.0528561, NDCG: 0.0367406, F1: 0.0239343, HIT_RATE: 0.1557616, ARHR: 0.0586914, NOVELTY: 0.0052979, AVERAGE_POPULARITY: 0.0148225, DIVERSITY_MEAN_INTER_LIST: 0.9970711, DIVERSITY_HERFINDAHL: 0.9996895, COVERAGE_ITEM: 0.5043773, COVERAGE_ITEM_CORRECT: 0.0302368, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0895432, DIVERSITY_GINI: 0.2280702, SHANNON_ENTROPY: 12.7625128, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 213, 'shrink': 6, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6878698169728313, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0760523, PRECISION: 0.0162469, PRECISION_RECALL_MIN_DEN: 0.0568317, RECALL: 0.0549770, MAP: 0.0235142, MRR: 0.0518908, NDCG: 0.0374746, F1: 0.0250803, HIT_RATE: 0.1624687, ARHR: 0.0580984, NOVELTY: 0.0052800, AVERAGE_POPULARITY: 0.0173487, DIVERSITY_MEAN_INTER_LIST: 0.9974332, DIVERSITY_HERFINDAHL: 0.9997257, COVERAGE_ITEM: 0.5916381, COVERAGE_ITEM_CORRECT: 0.0312608, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0923116, DIVERSITY_GINI: 0.2716909, SHANNON_ENTROPY: 12.9846283, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 617, 'shrink': 926, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.8147800852291869, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0768289, PRECISION: 0.0157737, PRECISION_RECALL_MIN_DEN: 0.0539426, RECALL: 0.0520995, MAP: 0.0238395, MRR: 0.0540190, NDCG: 0.0372516, F1: 0.0242130, HIT_RATE: 0.1577368, ARHR: 0.0601483, NOVELTY: 0.0052926, AVERAGE_POPULARITY: 0.0148472, DIVERSITY_MEAN_INTER_LIST: 0.9974583, DIVERSITY_HERFINDAHL: 0.9997282, COVERAGE_ITEM: 0.5137478, COVERAGE_ITEM_CORRECT: 0.0307141, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0901472, DIVERSITY_GINI: 0.2383642, SHANNON_ENTROPY: 12.8515398, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'topK': 996, 'shrink': 149, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.720429163085491, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0978970, PRECISION: 0.0210707, PRECISION_RECALL_MIN_DEN: 0.0740385, RECALL: 0.0715721, MAP: 0.0318865, MRR: 0.0689921, NDCG: 0.0496034, F1: 0.0325564, HIT_RATE: 0.2107069, ARHR: 0.0783966, NOVELTY: 0.0052904, AVERAGE_POPULARITY: 0.0168451, DIVERSITY_MEAN_INTER_LIST: 0.9980950, DIVERSITY_HERFINDAHL: 0.9997919, COVERAGE_ITEM: 0.6379057, COVERAGE_ITEM_CORRECT: 0.0409009, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1163710, DIVERSITY_GINI: 0.3216148, SHANNON_ENTROPY: 13.2656554, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'topK': 15, 'shrink': 219, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.888139423904328, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0699112, PRECISION: 0.0142025, PRECISION_RECALL_MIN_DEN: 0.0481703, RECALL: 0.0463225, MAP: 0.0219647, MRR: 0.0497951, NDCG: 0.0336877, F1: 0.0217332, HIT_RATE: 0.1420249, ARHR: 0.0557114, NOVELTY: 0.0053017, AVERAGE_POPULARITY: 0.0163191, DIVERSITY_MEAN_INTER_LIST: 0.9941576, DIVERSITY_HERFINDAHL: 0.9993982, COVERAGE_ITEM: 0.5885043, COVERAGE_ITEM_CORRECT: 0.0282117, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0800554, DIVERSITY_GINI: 0.2783937, SHANNON_ENTROPY: 12.8828827, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'topK': 313, 'shrink': 480, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.1757171040477148, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0852372, PRECISION: 0.0181668, PRECISION_RECALL_MIN_DEN: 0.0607631, RECALL: 0.0584790, MAP: 0.0268752, MRR: 0.0605440, NDCG: 0.0417445, F1: 0.0277206, HIT_RATE: 0.1816677, ARHR: 0.0686334, NOVELTY: 0.0052868, AVERAGE_POPULARITY: 0.0167626, DIVERSITY_MEAN_INTER_LIST: 0.9981173, DIVERSITY_HERFINDAHL: 0.9997941, COVERAGE_ITEM: 0.6471684, COVERAGE_ITEM_CORRECT: 0.0355034, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1003901, DIVERSITY_GINI: 0.3277906, SHANNON_ENTROPY: 13.2882401, 
